,title,height,length,art_type,medium_text,date_text,age,house,fecha,price,author,performance,source,country
1223,"Sapos Y Chapulines by Francisco Toledo, 1977",8.0,11.5,Made In Mexico," Etching, roulette and soft-ground in colors on paper under glass ",1977,45,"John Moran Auctioneers, Inc.",2022-08-23,, Francisco Toledo,-420,Mutual Art,-
1224,"""Iguana Rehilete,"" by Francisco Toledo, 1976",15.5,15.25,Made In Mexico, Etching and aquatint in colors on BFK Rives paper under glass ,1976,46,"John Moran Auctioneers, Inc.",2022-08-23,, Francisco Toledo,-420,Mutual Art,-
1226,"""Maternidad,"" by Jesus Leuus, 1963",23.75,11.75,Made In Mexico, Acrylic on Masonite ,1963,59,"John Moran Auctioneers, Inc.",2022-08-23,, Jesus Leuus,-420,Mutual Art,-
1227,"Figures seated in a doorway by Jesus Leuus, 1968",18.75,19.0,Made In Mexico, Oil with sand on Masonite ,1968,54,"John Moran Auctioneers, Inc.",2022-08-23,, Jesus Leuus,-420,Mutual Art,-
1229,"""Sol,"" by Rufino Tamayo, 1976",22.75,29.75,Made In Mexico, Mixografia in colors on Arches paper under glass ,1976,46,"John Moran Auctioneers, Inc.",2022-08-23,, Rufino Tamayo,-420,Mutual Art,-
1230,"""Conejo,"" by Francisco Toledo, 1974",3.25,5.75,Made In Mexico, Etching and aquatint in colors on paper under glass ,1974,48,"John Moran Auctioneers, Inc.",2022-08-23,, Francisco Toledo,-420,Mutual Art,-
1231,"""Laguna Verde,"" by Francisco Toledo, 1985",5.75,7.0,Made In Mexico, Aquatint in colors on paper under glass ,1985,37,"John Moran Auctioneers, Inc.",2022-08-23,, Francisco Toledo,-420,Mutual Art,-
1240,"Mujer Fumando by Fernando Botero, 1965",410.0,335.0,Summer Edit: Editions and Works on Paper, Lithograph printed in colours on wove paper ,1965,57,Forum Auctions London,2022-08-18,1795.0, Fernando Botero,-420,Mutual Art,-
1245,"La Negra, from Mujeres by Rufino Tamayo, 1969",27.25,21.0,Prints & Multiples: Summer Splash, Lithograph in colors on Rives BFK ,1969,53,Bonhams,2022-08-16,, Rufino Tamayo,-420,Mutual Art,-
1247,"Hombre En Negro by Rufino Tamayo, 1976",30.125,22.5,Prints & Multiples: Summer Splash, Mixografía® in colors on wove paper ,1976,46,Bonhams,2022-08-16,, Rufino Tamayo,-420,Mutual Art,-
