,title,height,length,art_type,medium_text,date_text,age,house,fecha,price,author,performance,source,country
1335,untitled (child),18.0,24.0,modern design | art, charcoal on paper ,1980,42,bonhams,2022-07-28,829.0, rafael coronel,0.829,mutual art,-
1337,tres cabezas,22.0,30.0,modern design | art, ink and wash on paper ,1983,39,bonhams,2022-07-28,2804.0, josé luis cuevas,0.9349939145367546,mutual art,-
1338,mercado de carne en hamburgo iv,19.0,12.5,modern design | art, wash and ink on paper ,1973,49,bonhams,2022-07-28,2422.0, josé luis cuevas,0.8076698624426845,mutual art,-
1339,no. 52,8.0,10.75,modern design | art, color pencil on paper ,1970,52,bonhams,2022-07-28,3187.0, francisco toledo,1.0626698454510595,mutual art,-
1340,adoradores del macho cabrío,31.0,47.75,modern design | art, watercolor on paper ,1983,39,bonhams,2022-07-28,5353.0, josé luis cuevas,1.3387520320120045,mutual art,-
1345,mercado de carne en hamburgo,19.0,26.0,modern design | art, ink and wash on paper ,1973,49,bonhams,2022-07-28,2549.0, josé luis cuevas,1.0200080032012806,mutual art,-
1346,untitled (figure with hat),11.0,8.5,modern design | art, ink on paper ,1980,42,bonhams,2022-07-28,1020.0, rafael coronel,0.68,mutual art,-
1350,centre noeds,23.75,17.5,prints and multiples, etching and aquatints in colors on japon nacre paper ,1974,48,"heritage auctions, dallas",2022-07-27,5248.0, roberto matta,1.3124921845692135,mutual art,-
1353,"morales guerra, el fumador",60.96,22.5,subasta de oportunidades 1148, mixed technique on paper ,1979,43,"morton auctions, cerro de mayka",2022-07-23,49.0, josé luis cuevas,0.47619047619047616,mutual art,-
1358,untitled,9.0,13.625,post-war & contemporary art online," graphite, wax crayon and colored pencil on paper mounted on paperboard ",1948,74,bonhams,2022-07-12,7011.0, roberto matta,1.1688311688311688,mutual art,-
1360,omnimal,41.0,5.0,modern and contemporary art auction, etching and coloured aquatint ,1972,50,art-rite auction house,2022-07-21,268.0, roberto matta,0.8766764802093554,mutual art,-
1361,sexplication suffisante,93.98,5.0,modern and contemporary art auction, etching and coloured aquatint ,1972,50,art-rite auction house,2022-07-21,328.0, roberto matta,1.0732984293193717,mutual art,-
1362,les voix,28.0,22.0,modern and contemporary art auction, etching and coloured aquatint on japon impérial paper ,1964,58,art-rite auction house,2022-07-21,204.0, roberto matta,0.6666666666666666,mutual art,-
1364,"nature morte aux fruits, couteau et théière devant une fenêtre",91.44,5.0,"modern, contemporary art & design", oil on canvas ,1998,24,monte-carlo auction house,2022-07-20,148052.0, fernando botero,0.9666666122563574,mutual art,-
1374,untitled.,241.3,72.0,modern & contemporary art traditional, mixed media on canvas ,1951,71,capitolium art,2022-07-13,15236.0, roberto matta,0.8640004536626168,mutual art,-
1375,samotriosa/homo flux.,304.8,205.0,modern & contemporary art traditional, bronze sculpture ,1970,52,capitolium art,2022-07-13,31741.0, roberto matta,0.35999997731640604,mutual art,-
1377,mujer india (pereda 55),30.5,21.5,fine art, color lithograph ,1959,63,doyle new york,2022-07-14,1889.0, rufino tamayo,0.9449961229645565,mutual art,-
1378,sandías; cocina,23.625,17.875,fine art, two color screenprints ,1985,37,doyle new york,2022-07-14,315.0, gustavo montoya,0.525,mutual art,-
1379,pedrito,38.25,29.5,fine art, color offset lithograph ,1975,47,doyle new york,2022-07-14,1260.0, fernando botero,1.008,mutual art,-
1385,oaxaca.,236.22,5.0,online sale - posters, offset poster ,1943,79,tessier & sarrou,2022-07-12,302.0, miguel covarrubias,0.8571023130410103,mutual art,-
1386,plusieurs autres vies,66.0,51.0,pre asta aperta, etching and aquatint on japon paper ,1977,45,mediartrade casa d'aste,2022-07-12,383.0, roberto matta,0.42222467203174957,mutual art,-
1387,muzik-foot,147.32,59.0,curiosities – discoveries – house backround - session 2, color lithographic box ,1990,32,accademia fine art,2022-07-12,654.0, roberto matta,4.33399602385686,mutual art,-
1388,"feu, feu sur moi",66.0,51.0,pre asta aperta, etching and aquatint on japon paper ,1977,45,mediartrade casa d'aste,2022-07-12,423.0, roberto matta,0.4666813768755516,mutual art,-
1392,hombre contemplando la luna,8.0,5.875,summer estate auction., etching and aquatint ,1947,75,clarke auction,2022-07-10,850.0, rufino tamayo,1.1333333333333333,mutual art,-
1393,"rice granary, bali",83.82000000000001,25.0,modern and contemporary southeast asian art, lithograph ,1943,79,"larasati auctioneers, singapore",2022-07-10,1428.0, miguel covarrubias,0.8695652173913043,mutual art,-
1398,le poing de jour (from: hommage à picasso).,124.46000000000001,5.0,art of the 20th century | online only, colour etching on arches (watermark) ,1971,51,fine art auctions,2022-06-28,556.0, roberto matta,1.3200379867046534,mutual art,-
1399,table lamp,251.46,40.0,contemporary design, enameled porcelain ,1970,52,piasa,2022-07-07,1847.0, alicia penalba,1.8199733950830173,mutual art,-
1407,les convaincus,137.16,76.0,belle vente classique, color lithograph on paper ,1976,46,lynda trouvé,2022-07-07,213.0, roberto matta,1.0500369731328567,mutual art,-
1409,hombre con perro.,144.78,5.0,july auction: paintings and sculptures, offset-lithography on paper ,1990,32,segre auctions,2022-07-05,564.0, fernando botero,2.749878108239883,mutual art,-
1412,la araucana,177.8,50.0,modern and contemporary .., drawing in colored pencils ,1978,44,pandolfini,2022-06-28,527.0, roberto matta,1.25,mutual art,-
1415,the sea - salt pathway,71.12,5.0,post-war and contemporary prints - day 2 - lots 202 to 400, etching and aquatint ,1970,52,ader,2022-07-01,400.0, roberto matta,1.5360983102918588,mutual art,-
1424,requiem pour la fin des temps,152.4,73.0,limited editions, etching and aquatint in color on arches vellum ,1978,44,cornette de saint cyr,2022-06-29,817.0, roberto matta,1.5599045346062053,mutual art,-
1425,"pedrito, 1975",38.25,29.25,"estate jewelry, art & collectibles", color lithograph on paper ,1975,47,kodner galleries,2022-06-29,325.0, fernando botero,0.5416666666666666,mutual art,-
1430,. an original haitian folk art painting. a figural city landscape painting with a profusion of architectural forms and human figures,29.5,21.5,prism, landscape painting ,1973,49,hill auction gallery,2022-06-29,1199.0, prefete duffaut,1.2000200170144624,mutual art,-
1435,"droites liberees ii, iii, and xiii",11.0,7.0,june modern & contemporary paintings & prints, etchings ,1971,51,ro gallery,2022-06-28,1000.0, roberto matta,0.4444444444444444,mutual art,-
1437,rembrandt as a child,8.0,10.0,june modern & contemporary paintings & prints, etching ,1988,34,ro gallery,2022-06-28,325.0, josé luis cuevas,0.5909090909090909,mutual art,-
1438,still life,77.4192,40.64,art & prestige, charcoal on paper ,1942,80,champagne auctions,2022-06-28,233.0, maria izquierdo,0.2,mutual art,-
1439,cosmicstrip ii,14.75,19.25,june modern & contemporary paintings & prints, etching ,1959,63,ro gallery,2022-06-28,750.0, roberto matta,0.375,mutual art,-
1445,untitled,464.82,236.0,postwar and contemporary art," charcoal, white chalk and pastel on two assembled papers, mounted on canvas ",1944,78,millon & associes,2022-06-27,62520.0, roberto matta,2.3600022648774135,mutual art,-
1456,untitled,142.24,5.0,modern and contemporary art, lithograph on vellum ,1970,52,jeschke van vliet,2022-06-24,211.0, agustin cárdenas,1.3333333333333333,mutual art,-
1459,festival d' avignon. 1977,185.42000000000002,53.0,estampes - tables and sculptures of the 19th and 20th centuries - new art - deco art, lithograph in colors ,1977,45,thierry de maigret,2022-06-24,136.0, roberto matta,0.7371273712737128,mutual art,-
1464,le conmer - 1976,65.0,50.0,"editions : prints, illustrated books and limited editions", etching and aquatint on wove paper ,1976,46,piasa,2022-06-23,478.0, roberto matta,1.1374182034503273,mutual art,-
1466,eve d'adeva,30.0,,modern and contemporary art, varnished ceramic ,1987,35,pandolfini,2022-06-22,1190.0, roberto matta,1.7307832157661263,mutual art,-
1467,"muñeca and instrumentos, from niños mexicanos (two works)",27.0,21.5,prints & multiples showcase auction, serigraphs in colors on wove paper ,1985,37,"heritage auctions, dallas",2022-06-22,650.0, gustavo montoya,0.65,mutual art,-
1468,"máscara, from rufino tamayo 18 aguafuertes",30.0,22.0,prints & multiples showcase auction, etching in colors on handmade paper pulp ,1984,38,"heritage auctions, dallas",2022-06-22,2199.0, rufino tamayo,1.0999949977489871,mutual art,-
1469,"mujer en rojo, from mujeres",29.625,22.125,prints & multiples showcase auction, lithograph in colors on rives bfk paper ,1969,53,"heritage auctions, dallas",2022-06-22,1899.0, rufino tamayo,0.9499987493434053,mutual art,-
1470,eve s'adama,30.0,,modern and contemporary art, varnished ceramic ,1987,35,pandolfini,2022-06-22,794.0, roberto matta,1.1539020491207674,mutual art,-
1471,chrysalis iii,129.54,5.0,moblier art objects sale, bronze with dark brown patina ,1974,48,art valorem,2022-06-22,64531.0, alicia penalba,4.066674018874167,mutual art,-
1475,untitled. [circa 1960].,104.14,5.0,a thousand nights of dream v - geneviève & jean-paul kahn collection, colored pencil and graphite ,1960,62,pierre bergé & associates,2022-06-21,3374.0, roberto matta,1.2799939300821337,mutual art,-
1483,paisahe con luna,19.5,27.0,june exceptional estates auction, etching ,1979,43,blackwell auctions,2022-06-18,2999.0, rufino tamayo,0.6666666666666666,mutual art,-
1484,cabeza en rojo (head in red),21.75,29.5,june exceptional estates auction," etching in colours with carborundum, on guarro paper ",1979,43,blackwell auctions,2022-06-18,1699.0, rufino tamayo,0.5666733373357348,mutual art,-
1488,the eye of the song,165.1,49.0,contemporary art," watercolor, pastel and charcoal on paper ",1991,31,crait + müller,2022-06-17,5129.0, roberto matta,0.890907669726683,mutual art,-
1492,"rice granary, bali",15.0,11.0,prints & works on paper from the collection of dr. cornelius osgood showcase, lithograph on paper ,1943,79,"heritage auctions, dallas",2022-06-17,1099.0, miguel covarrubias,1.0999899909918927,mutual art,-
1493,platicando,16.0,19.75,modern + contemporary art +design, oil on masonite ,1965,57,clars auction gallery,2022-06-17,950.0, jesus leuus,0.6333333333333333,mutual art,-
1496,don quijote und sancho panza,58.42,7.0,auction 276, watercolour over preliminary drawing in pen and ink ,1963,59,galerie kornfeld,2022-06-03,1556.0, francisco toledo,1.4999759001301394,mutual art,-
1497,stillleben mit früchten,147.32,4.0,auction 276, colour lithograph ,1976,46,galerie kornfeld,2022-06-03,1140.0, fernando botero,1.4667095529109038,mutual art,-
1499,ohne titel,165.1,5.0,auction 276, wax chalk drawing ,1971,51,galerie kornfeld,2022-06-03,1971.0, roberto matta,2.533256217466744,mutual art,-
