title,height,length,art_type,date_text,age,house,fecha,price,author,performance,source,country,list_technique,acrylic,aquatint,arches,black,board,bronze,brown,canvas,cardboard,charcoal,color,colors,colours,crayon,down,etching,gelatin,gouache,graphite,guarro,handmade,ink,laid,lithograph,lithographs,masonite,media,metal,mixed,mixografía,mixograph,mounted,nylon,oil,painted,panel,paper,pastel,patina,pencil,plexiglas,plexiglass,print,printed,rice,rods,sand,screenprint,silkscreen,silver,tempera,watercolor,wood,wove
"Cock Rooster by Chucho Reyes, 1980",29.5,19.25,Fine Art,1980,42,Rago Arts and Auction Center,2004-11-01,737.0, Chucho Reyes,-420,Mutual Art,-,"['acrylic', 'on', 'paper']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Migration over the Sound by Antonio Frasconi, 1958",20.5,26.375,Fine Art,1958,64,Rago Arts and Auction Center,2004-11-01,1013.0, Antonio Frasconi,-420,Mutual Art,-,"['woodcut', 'in', 'colors']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morning Song by Antonio Peticov, 1984",26.25,36.5,Fine Art,1984,38,Rago Arts and Auction Center,2004-11-01,185.0, Antonio Peticov,-420,Mutual Art,-,"['lithograph', 'in', 'colors']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Toilette, from Botero by Fernando Botero, 1983",13.687,5.0,Prints and Multiples,1983,39,Christie's,2004-11-02,10307.0, Fernando Botero,-420,Mutual Art,-,"['offset', 'lithograph', 'in', 'colors']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Les Amants (Loving Couple) by Fernando Botero, 1973",720.5,750.25,POST-WAR AND CONTEMPORARY ART (EVENING SALE),1973,49,Christie's,2004-11-10,557191.0, Fernando Botero,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Robert Morris (Pictures of Dust) by Vik Muniz, 2000",48.0,64.0,POST-WAR AND CONTEMPORARY ART (AFTERNOON SESSION),2000,22,Christie's,2004-11-11,26233.0, Vik Muniz,-420,Mutual Art,-,"['cibachrome', 'print']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Pedro and Pablo by Felix González-Torres, 1980",14.0,11.0,POST-WAR AND CONTEMPORARY ART (AFTERNOON SESSION),1980,42,Christie's,2004-11-11,26233.0, Felix González-Torres,-420,Mutual Art,-,"['gelatin', 'silver', 'print']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"The Reader, after Fragonard (from Pictures of Chocolate) by Vik Muniz, 2002",40.0,31.0,POST-WAR AND CONTEMPORARY ART (AFTERNOON SESSION),2002,20,Christie's,2004-11-11,74951.0, Vik Muniz,-420,Mutual Art,-,"['cibachrome', 'print']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ecuador by Sebastião Salgado, 1982",110.5,170.25,19TH & 20TH CENTURY PHOTOGRAPHS,1982,40,Christie's,2004-11-16,3823.0, Sebastião Salgado,-420,Mutual Art,-,"['gelatin', 'silver', 'print']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Soviet Union by Sebastião Salgado, 1987",110.75,17.375,19TH & 20TH CENTURY PHOTOGRAPHS,1987,35,Christie's,2004-11-16,2084.0, Sebastião Salgado,-420,Mutual Art,-,"['gelatin', 'silver', 'print']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Sem título by Cícero dos Santos Dias, circa 1940",21.875,180.25,LATIN AMERICAN SALE,1940,82,Christie's,2004-11-17,131164.0, Cícero dos Santos Dias,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sans titre by Wifredo Lam, 1942",420.5,34.0,LATIN AMERICAN SALE,1942,80,Christie's,2004-11-17,275186.0, Wifredo Lam,-420,Mutual Art,-,"['gouache', 'on', 'paper', 'laid', 'down', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Standing Nude at a Window by Fernando Botero, 1980",170.25,14.0,LATIN AMERICAN SALE,1980,42,Christie's,2004-11-17,37475.0, Fernando Botero,-420,Mutual Art,-,"['pencil', 'on', 'paper']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poodle by Fernando Botero, 1974",24.0,20.0,LATIN AMERICAN SALE,1974,48,Christie's,2004-11-17,74951.0, Fernando Botero,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sans titre by Wifredo Lam, circa 1955",250.25,32.0,LATIN AMERICAN SALE,1955,67,Christie's,2004-11-17,97436.0, Wifredo Lam,-420,Mutual Art,-,"['oil', 'on', 'burlap']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morisma #10 by Rafael Coronel, circa 1975",31.375,39.375,LATIN AMERICAN SALE,1975,47,Christie's,2004-11-17,31854.0, Rafael Coronel,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The other's great utopia by Ismael Frigerio, 1988",490.75,38.0,LATIN AMERICAN SALE,1988,34,Christie's,2004-11-17,7495.0, Ismael Frigerio,-420,Mutual Art,-,"['tempera', 'and', 'charcoal', 'on', 'paper']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Bath (All of You) by Daniel García, 1996",490.5,810.5,LATIN AMERICAN SALE,1996,26,Christie's,2004-11-17,14990.0, Daniel García,-420,Mutual Art,-,"['acrylic', 'on', 'canvas']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sin título 2 by Luis González Palma, 1998",190.5,45.625,LATIN AMERICAN SALE,1998,24,Christie's,2004-11-17,11243.0, Luis González Palma,-420,Mutual Art,-,"['hand', 'toned', 'photograph', 'and', 'aluminum', 'foil', 'collage']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moises by Vik Muniz, 1998",63.0,49.0,LATIN AMERICAN SALE,1998,24,Christie's,2004-11-17,28107.0, Vik Muniz,-420,Mutual Art,-,['cibachrome'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deporte nacional 2 by Kcho, 1996",24.0,350.75,LATIN AMERICAN SALE,1996,26,Christie's,2004-11-17,7120.0, Kcho,-420,Mutual Art,-,"['charcoal', 'on', 'paper']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Untitled (blue plan with candles) by Guillermo Kuitca, 1991",730.5,360.25,LATIN AMERICAN SALE,1991,31,Christie's,2004-11-17,112426.0, Guillermo Kuitca,-420,Mutual Art,-,"['acrylic', 'on', 'canvas']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The body is the map by Alfredo Jaar, 1990",20.0,20.0,LATIN AMERICAN SALE,1990,32,Christie's,2004-11-17,28107.0, Alfredo Jaar,-420,Mutual Art,-,"['nine', 'cibachrome', 'prints']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
