title,height,length,art_type,date_text,age,house,fecha,price,author,performance,source,country,list_technique,acrylic,aquatint,arches,black,board,bronze,brown,canvas,cardboard,charcoal,color,colors,colours,crayon,down,etching,gelatin,gouache,graphite,guarro,handmade,ink,laid,lithograph,lithographs,masonite,media,metal,mixed,mixografía,mixograph,mounted,nylon,oil,painted,panel,paper,pastel,patina,pencil,plexiglas,plexiglass,print,printed,rice,rods,sand,screenprint,silkscreen,silver,tempera,watercolor,wood,wove
"Dos mujeres by Francisco Zuñiga, 1976",19.625,250.5,THE LATIN AMERICAN SALE,1976,46,Christie's,2000-06-01,11116.0, Francisco Zuñiga,-420,Mutual Art,-,"['charcoal', 'and', 'pastel', 'on', 'buff', 'paper']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Road Workers by Rufino Tamayo, 1932",10.875,8.375,THE LATIN AMERICAN SALE,1932,90,Christie's,2000-06-01,60627.0, Rufino Tamayo,-420,Mutual Art,-,"['gouache', 'on', 'paper']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamaca by Francisco Zuñiga, 1985",15.0,33.875,THE LATIN AMERICAN SALE,1985,37,Christie's,2000-06-01,141463.0, Francisco Zuñiga,-420,Mutual Art,-,"['black', 'marble']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proyecto para el mural Del porfirismo a la Revolución en el Castillo de Chapultepec by David Alfaro Siqueiros, ca. 1958",48.125,660.75,THE LATIN AMERICAN SALE,1958,64,Christie's,2000-06-01,331945.0, David Alfaro Siqueiros,-420,Mutual Art,-,"['pyroxilin', 'on', 'masonite']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mujer frente el espejo by Diego Rivera, ca. 1917",70.75,50.5,THE LATIN AMERICAN SALE,1917,105,Christie's,2000-06-01,44460.0, Diego Rivera,-420,Mutual Art,-,"['ink', 'on', 'paper']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Retrato del poeta Lalane by Diego Rivera, 1936",48.0,380.5,THE LATIN AMERICAN SALE,1936,86,Christie's,2000-06-01,161672.0, Diego Rivera,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Estudio para Caracol by David Alfaro Siqueiros, ca. 1940",27.0,20.0,THE LATIN AMERICAN SALE,1940,82,Christie's,2000-06-01,101045.0, David Alfaro Siqueiros,-420,Mutual Art,-,"['pyroxilin', 'on', 'panel']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nubes sobre la laguna by Tomás Sánchez, 1996",77.0,950.5,THE LATIN AMERICAN SALE,1996,26,Christie's,2000-06-01,540055.0, Tomás Sánchez,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Naturaleza Muerta by Angel Zárraga, 1918",16.125,13.0,THE LATIN AMERICAN SALE,1918,104,Christie's,2000-06-01,24251.0, Angel Zárraga,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tamayo, A.K.A, Rome, 1974: A Set of Six by Rufino Tamayo, 1974",1765.3,490.0,"Old Master, Modern & Contemporary Prints",1974,48,Christie's,2000-06-20,15251.0, Rufino Tamayo,-420,Mutual Art,-,"['lithographs', 'printed', 'in', 'colors', 'on', 'wove', 'paper']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Le Gran Jaune by Jesus-Rafael Soto, 1965",62.0,42.0,Latin American Sale,1965,57,Christie's,2000-11-21,76794.0, Jesus-Rafael Soto,-420,Mutual Art,-,"['painted', 'wood', 'construction', 'with', 'metal', 'and', 'nylon', 'attachments']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Sin título by Francisco Zuñiga, 1970",150.75,40.0,Latin American Sale,1970,52,Christie's,2000-11-21,19199.0, Francisco Zuñiga,-420,Mutual Art,-,"['bronze', 'with', 'brown', 'patina']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platanal by Alfredo Ramos Martínez, ca. 1939",180.5,28.125,Latin American Sale,1939,83,Christie's,2000-11-21,52544.0, Alfredo Ramos Martínez,-420,Mutual Art,-,"['watercolor', 'gouache', 'and', 'pastel', 'on', 'board']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Dos personajes by Rufino Tamayo, 1968",47.875,63.875,Latin American Sale,1968,54,Christie's,2000-11-21,577893.0, Rufino Tamayo,-420,Mutual Art,-,"['oil', 'and', 'sand', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Sin título by Armando Reverón, 1938",30.625,20.0,Latin American Sale,1938,84,Christie's,2000-11-21,52544.0, Armando Reverón,-420,Mutual Art,-,"['oil', 'on', 'paper', 'laid', 'down', 'on', 'board']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dos amantes contemplando la luna by Rufino Tamayo, 1950",39.625,130.333,Latin American Sale,1950,72,Christie's,2000-11-21,240062.0, Rufino Tamayo,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mujeres con canasta by Rufino Tamayo, ca. 1939",11.0,1.375,Latin American Sale,1939,83,Christie's,2000-11-21,52544.0, Rufino Tamayo,-420,Mutual Art,-,"['gouache', 'on', 'paper']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nacimiento de una isla by Tomás Sánchez, 1987",290.75,210.5,Latin American Sale,1987,35,Christie's,2000-11-21,44460.0, Tomás Sánchez,-420,Mutual Art,-,"['tempera', 'on', 'paper']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Autorretrato by Francisco Toledo, 1991",130.75,13.125,Latin American Sale,1991,31,Christie's,2000-11-21,60627.0, Francisco Toledo,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uvero en la playa by Armando Reverón, circa 1930",230.75,32.0,Latin American Sale,1930,92,Christie's,2000-11-21,237349.0, Armando Reverón,-420,Mutual Art,-,"['oil', 'and', 'gouache', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Imagen en un espejo by Rufino Tamayo, 1972",39.375,230.75,Latin American Sale,1972,50,Christie's,2000-11-21,265728.0, Rufino Tamayo,-420,Mutual Art,-,"['oil', 'and', 'sand', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Encuentro con la naturaleza by Elmar Rojas, 1996",760.75,63.0,Latin American Sale,1996,26,Christie's,2000-11-21,40418.0, Elmar Rojas,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dos hombres by Diego Rivera, circa 1934",115.0,8.0,Latin American Sale,1934,88,Christie's,2000-11-21,24251.0, Diego Rivera,-420,Mutual Art,-,"['brush', 'and', 'black', 'ink', 'on', 'paper']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evelia by Francisco Zuñiga, 1970",170.5,44.5,Latin American Sale,1970,52,Christie's,2000-11-21,97003.0, Francisco Zuñiga,-420,Mutual Art,-,"['bronze', 'with', 'dark', 'green', 'patina']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El volcán by David Alfaro Siqueiros, ca. 1960",270.25,24.0,Latin American Sale,1960,62,Christie's,2000-11-21,131359.0, David Alfaro Siqueiros,-420,Mutual Art,-,"['pyroxylin', 'on', 'panel']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosque by Tomás Sánchez, 1987",120.75,180.5,Latin American Sale,1987,35,Christie's,2000-11-21,48502.0, Tomás Sánchez,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialogue en rond by Jesus-Rafael Soto, 1965",63.5,,Twentieth Century Art,1965,57,Christie's,2000-11-30,11933.0, Jesus-Rafael Soto,-420,Mutual Art,-,"['acrylics', 'on', 'wood', 'and', 'metal']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Sentada en contemplacion by Abigail Varela, 1998",190.5,49.5,"Modern, Post-War and Contemporary Art",1998,24,Christie's,2000-12-05,16167.0, Abigail Varela,-420,Mutual Art,-,"['bronze', 'with', 'brown', 'patina']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sin título by Mariano Rodriguez, 1943",110.25,140.25,LATIN AMERICAN SALE,1943,79,Christie's,2001-05-30,12776.0, Mariano Rodriguez,-420,Mutual Art,-,"['watercolor', 'and', 'pencil', 'on', 'paper']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Proyecto para el mural sur de la Cd. Universitaria: La gente de la universidad y la universidad de la gente by David Alfaro Siqueiros, 1951",48.0,143.0,LATIN AMERICAN SALE,1951,71,Christie's,2001-05-30,451616.0, David Alfaro Siqueiros,-420,Mutual Art,-,"['vinyl', 'on', 'masonite', 'and', 'triplay']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camarones by Francisco Toledo, 1987",23.625,280.75,LATIN AMERICAN SALE,1987,35,Christie's,2001-05-30,212427.0, Francisco Toledo,-420,Mutual Art,-,"['oil', 'and', 'sand', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Visitador de cascadas by Tomás Sánchez, 1999",48.0,48.0,LATIN AMERICAN SALE,1999,23,Christie's,2001-05-30,267624.0, Tomás Sánchez,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sapo by Francisco Toledo, 2000",260.25,200.25,LATIN AMERICAN SALE,2000,22,Christie's,2001-05-30,3931.0, Francisco Toledo,-420,Mutual Art,-,"['embossed', 'etching', 'on', 'handmade', 'paper', 'with', 'mica', 'and', 'thread']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un bouquet de rosas blancas y rojas by Angel Zárraga, 1923",31.875,250.75,LATIN AMERICAN SALE,1923,99,Christie's,2001-05-30,51099.0, Angel Zárraga,-420,Mutual Art,-,"['oil', 'on', 'board']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mujer colgada en aro, II by Abigail Varela, 1999",29.125,74.0,LATIN AMERICAN SALE,1999,23,Christie's,2001-05-30,25550.0, Abigail Varela,-420,Mutual Art,-,"['bronze', 'with', 'brown', 'patina']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quebrada de Morrocotudo by Armando Reverón, 1919",16.0,230.25,LATIN AMERICAN SALE,1919,103,Christie's,2001-05-30,166429.0, Armando Reverón,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L'homme et oiseau by Rufino Tamayo, 1973",18.125,270.75,LATIN AMERICAN SALE,1973,49,Christie's,2001-05-30,322821.0, Rufino Tamayo,-420,Mutual Art,-,"['oil', 'and', 'sand', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Meditador con expectativas by Tomás Sánchez, 2001",23.875,17.875,LATIN AMERICAN SALE,2001,21,Christie's,2001-05-30,240025.0, Tomás Sánchez,-420,Mutual Art,-,"['acrylic', 'on', 'canvas']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Montañas by David Alfaro Siqueiros, 1960",20.875,41.375,LATIN AMERICAN SALE,1960,62,Christie's,2001-05-30,117922.0, David Alfaro Siqueiros,-420,Mutual Art,-,"['oil', 'on', 'masonite']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mujer y niño by Francisco Zuñiga, 1977",13.125,33.3,LATIN AMERICAN SALE,1977,45,Christie's,2001-05-30,43238.0, Francisco Zuñiga,-420,Mutual Art,-,"['bronze', 'with', 'green', 'patina']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grupo de cuatro figuras con niño by Francisco Zuñiga, 1965",70.5,19.0,LATIN AMERICAN SALE,1965,57,Christie's,2001-05-30,47169.0, Francisco Zuñiga,-420,Mutual Art,-,"['bronze', 'with', 'green', 'patina']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dos mujeres by Francisco Zuñiga, 1972",19.625,250.5,LATIN AMERICAN SALE,1972,50,Christie's,2001-05-30,15723.0, Francisco Zuñiga,-420,Mutual Art,-,"['watercolor', 'and', 'charcoal', 'on', 'paper']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Estación de ferrocarril by Diego Rivera, 1937",180.5,22.0,LATIN AMERICAN SALE,1937,85,Christie's,2001-05-30,94337.0, Diego Rivera,-420,Mutual Art,-,"['watercolor', 'and', 'chinese', 'ink', 'on', 'rice', 'paper']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Lavanderas by Diego Rivera, 1937",180.5,22.0,LATIN AMERICAN SALE,1937,85,Christie's,2001-05-30,88441.0, Diego Rivera,-420,Mutual Art,-,"['watercolor', 'and', 'chinese', 'ink', 'on', 'rice', 'paper']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Ciudad prohibida by Fernando de Szyszlo, 1976",62.375,620.75,LATIN AMERICAN SALE,1976,46,Christie's,2001-05-30,47169.0, Fernando de Szyszlo,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sueño by Francisco Toledo, 1964",23.625,31.0,LATIN AMERICAN SALE,1964,58,Christie's,2001-05-30,31446.0, Francisco Toledo,-420,Mutual Art,-,"['oil', 'and', 'sand', 'on', 'canvas', 'laid', 'down', 'on', 'masonite']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Construcción (boceto para el mural de St. Bois) by Joaquín Torres García, 1944",21.625,33.125,LATIN AMERICAN SALE,1944,78,Christie's,2001-05-30,746002.0, Joaquín Torres García,-420,Mutual Art,-,"['oil', 'on', 'board']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sin título by Joaquín Torres García, 1929",15.125,180.25,LATIN AMERICAN SALE,1929,93,Christie's,2001-05-30,74684.0, Joaquín Torres García,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sin título by Joaquín Torres García, 1920",9.875,6.875,LATIN AMERICAN SALE,1920,102,Christie's,2001-05-30,9827.0, Joaquín Torres García,-420,Mutual Art,-,"['watercolor', 'on', 'paper']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Dos mujeres by Francisco Zuñiga, 1969",250.5,19.625,LATIN AMERICAN SALE,1969,53,Christie's,2001-05-30,12776.0, Francisco Zuñiga,-420,Mutual Art,-,"['watercolor', 'and', 'crayon', 'on', 'paper']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Mujer recogiendo paja by Leopoldo Romañach, 1900",35.625,240.25,LATIN AMERICAN SALE,1900,122,Christie's,2001-05-30,15723.0, Leopoldo Romañach,-420,Mutual Art,-,"['oil', 'on', 'canvas', 'laid', 'down', 'on', 'board']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Two Women Sitting by Francisco Zuñiga, 1967",19.0,25.0,LATIN AMERICAN SALE,1967,55,Christie's,2001-05-30,8845.0, Francisco Zuñiga,-420,Mutual Art,-,"['watercolor', 'and', 'charcoal', 'on', 'paper']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Madre feliz by Rufino Tamayo, 1949",490.5,39.625,LATIN AMERICAN SALE,1949,73,Christie's,2001-05-30,929993.0, Rufino Tamayo,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cabeza by Rufino Tamayo, 1958",13.0,10.0,"Modern, Post-War and Contemporary Prints",1958,64,Christie's,2001-06-13,1867.0, Rufino Tamayo,-420,Mutual Art,-,"['lithograph', 'in', 'colors']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carnavalesque; and Venus Noir, from Las Mujéres by Rufino Tamayo, 1969",270.25,210.25,"Modern, Post-War and Contemporary Prints",1969,53,Christie's,2001-06-13,5110.0, Rufino Tamayo,-420,Mutual Art,-,"['lithographs', 'in', 'colors']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sandias con Manzana by Rufino Tamayo, 1985",27.0,340.5,"Modern, Post-War and Contemporary Prints",1985,37,Christie's,2001-06-13,14739.0, Rufino Tamayo,-420,Mutual Art,-,"['mixograph', 'in', 'colors']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reloh sin Tiempo by Rufino Tamayo, 1977",22.125,29.125,"Modern, Post-War and Contemporary Prints",1977,45,Christie's,2001-06-13,3931.0, Rufino Tamayo,-420,Mutual Art,-,"['etching', 'in', 'colors']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sandias by Rufino Tamayo, 1969",21.0,29.0,"Modern, Post-War and Contemporary Prints",1969,53,Christie's,2001-06-13,9827.0, Rufino Tamayo,-420,Mutual Art,-,"['lithograph', 'in', 'colors']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salome by Rufino Tamayo, 1984",30.0,21.875,"Modern, Post-War and Contemporary Prints",1984,38,Christie's,2001-06-13,2556.0, Rufino Tamayo,-420,Mutual Art,-,"['lithograph', 'in', 'colors']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petite vibration brique et noire by Jesus-Rafael Soto, 1966",128.016,43.3,Swiss Art,1966,56,Christie's,2001-06-19,4623.0, Jesus-Rafael Soto,-420,Mutual Art,-,"['relief', 'multiple']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Domingo de Ramos by Jose Antonio Velasquez, 1965",22.0,280.5,Modern & Post-War Art,1965,57,Christie's,2001-06-22,3056.0, Jose Antonio Velasquez,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tiratura 45, no.4 by Jesus-Rafael Soto, 1966",250.5,63.5,Modern & Post-War Art,1966,56,Christie's,2001-06-22,3613.0, Jesus-Rafael Soto,-420,Mutual Art,-,"['oil', 'and', 'wood', 'construction']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
