title,height,length,art_type,date_text,age,house,fecha,price,author,performance,acrylic,aquatint,arches,black,board,bronze,brown,canvas,cardboard,charcoal,color,colors,colours,crayon,down,etching,gelatin,gouache,graphite,guarro,handmade,ink,laid,lithograph,lithographs,masonite,media,metal,mixed,mixografía,mixograph,mounted,nylon,oil,painted,panel,paper,pastel,patina,pencil,plexiglas,plexiglass,print,printed,rice,rods,sand,screenprint,silkscreen,silver,tempera,watercolor,wood,wove,year,month,ln_precio,ln_height,ln_width,age_2,age_3,age_4
"""dos personajes""",27.2,37.0,morton's saturdays | opportunities 1151,1999,23,"morton auctions, cerro de mayka",2022-08-13,151.0, josé luis cuevas,1.1998410806515694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,8,5.017279836814924,3.3032169733019514,3.6109179126442243,529,12167,279841
estudio de manos; contorsionistas,28.0,20.5,auction of graphic work and photography,1974,48,"morton auctions, cerro de mayka",2022-08-11,251.0, josé luis cuevas,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,8,5.5254529391317835,3.332204510175204,3.0204248861443626,2304,110592,5308416
pescadores en blanes,109.22,63.0,auction of graphic work and photography,1981,41,"morton auctions, cerro de mayka",2022-08-11,477.0, josé luis cuevas,0.7916355489171024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,8,6.1675164908883415,4.693364196724008,4.143134726391533,1681,68921,2825761
cabeza sobre fondo verde,142.24,76.0,auction of graphic work and photography,1979,43,"morton auctions, cerro de mayka",2022-08-11,2760.0, rufino tamayo,0.8800038261035917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,8,7.9229859587111955,4.957515771765594,4.330733340286331,1849,79507,3418801
champagne millésime da collezione di matta per taittinger collection.,88.9,5.0,modern & contemporary art virtual,1992,30,capitolium art,2022-07-27,178.0, roberto matta,0.5866842452208306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,5.181783550292085,4.487512142519859,1.6094379124341003,900,27000,810000
nuotare nella musica.,53.0,49.0,modern & contemporary art virtual,1980,42,capitolium art,2022-07-27,153.0, roberto matta,0.3774981495188749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,5.030437921392435,3.970291913552122,3.8918202981106265,1764,74088,3111696
untitled,14.0,7.0,cool for the summer,1991,31,hindman,2022-07-28,16244.0, agustin cárdenas,1.6250012504626714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,9.69547888880619,2.6390573296152584,1.9459101490553132,961,29791,923521
untitled (child in profile),13.0,11.125,modern design | art,1980,42,bonhams,2022-07-28,1020.0, rafael coronel,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,6.927557906278317,2.5649493574615367,2.409194828052304,1764,74088,3111696
untitled (child),18.0,24.0,modern design | art,1980,42,bonhams,2022-07-28,829.0, rafael coronel,0.829,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,6.720220155135295,2.8903717578961645,3.1780538303479458,1764,74088,3111696
tres cabezas,22.0,30.0,modern design | art,1983,39,bonhams,2022-07-28,2804.0, josé luis cuevas,0.9349939145367546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,7.938802248154481,3.091042453358316,3.4011973816621555,1521,59319,2313441
mercado de carne en hamburgo iv,19.0,12.5,modern design | art,1973,49,bonhams,2022-07-28,2422.0, josé luis cuevas,0.8076698624426845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,7.792348924113037,2.9444389791664403,2.5257286443082556,2401,117649,5764801
