date, value,returns
25/01/1963,3.85,-0.002590673575129432
28/01/1963,3.86,0.0025974025974024872
29/01/1963,3.86,0.0
30/01/1963,3.86,0.0
31/01/1963,3.87,0.002590673575129543
01/02/1963,3.88,0.0025839793281652312
04/02/1963,3.89,0.002577319587628857
05/02/1963,3.9,0.0025706940874035134
06/02/1963,3.91,0.002564102564102555
07/02/1963,3.91,0.0
08/02/1963,3.91,0.0
11/02/1963,3.92,0.002557544757033181
13/02/1963,3.92,0.0
14/02/1963,3.91,-0.0025510204081632404
15/02/1963,3.91,0.0
18/02/1963,3.91,0.0
19/02/1963,3.93,0.005115089514066584
20/02/1963,3.94,0.0025445292620864812
21/02/1963,3.95,0.002538071065989911
25/02/1963,3.95,0.0
26/02/1963,3.95,0.0
27/02/1963,3.95,0.0
28/02/1963,3.94,-0.0025316455696202667
01/03/1963,3.93,-0.0025380710659898
04/03/1963,3.92,-0.0025445292620865922
05/03/1963,3.92,0.0
06/03/1963,3.91,-0.0025510204081632404
07/03/1963,3.92,0.002557544757033181
08/03/1963,3.92,0.0
11/03/1963,3.92,0.0
12/03/1963,3.92,0.0
13/03/1963,3.92,0.0
14/03/1963,3.92,0.0
15/03/1963,3.92,0.0
18/03/1963,3.92,0.0
19/03/1963,3.92,0.0
20/03/1963,3.92,0.0
21/03/1963,3.92,0.0
22/03/1963,3.93,0.0025510204081633514
25/03/1963,3.94,0.0025445292620864812
26/03/1963,3.96,0.0050761421319796
27/03/1963,3.96,0.0
28/03/1963,3.96,0.0
29/03/1963,3.95,-0.002525252525252486
01/04/1963,3.95,0.0
02/04/1963,3.96,0.0025316455696202667
03/04/1963,3.96,0.0
04/04/1963,3.95,-0.002525252525252486
05/04/1963,3.95,0.0
08/04/1963,3.97,0.005063291139240533
09/04/1963,3.98,0.0025188916876572875
10/04/1963,4.0,0.005025125628140614
11/04/1963,4.0,0.0
15/04/1963,4.01,0.0024999999999999467
16/04/1963,4.0,-0.0024937655860348684
17/04/1963,4.0,0.0
18/04/1963,3.99,-0.0024999999999999467
19/04/1963,3.97,-0.005012531328320802
22/04/1963,3.97,0.0
23/04/1963,3.97,0.0
24/04/1963,3.96,-0.0025188916876575096
25/04/1963,3.95,-0.002525252525252486
26/04/1963,3.95,0.0
29/04/1963,3.95,0.0
30/04/1963,3.95,0.0
01/05/1963,3.94,-0.0025316455696202667
02/05/1963,3.94,0.0
03/05/1963,3.93,-0.0025380710659898
06/05/1963,3.92,-0.0025445292620865922
07/05/1963,3.91,-0.0025510204081632404
08/05/1963,3.92,0.002557544757033181
09/05/1963,3.93,0.0025510204081633514
10/05/1963,3.93,0.0
13/05/1963,3.92,-0.0025445292620865922
14/05/1963,3.91,-0.0025510204081632404
15/05/1963,3.91,0.0
16/05/1963,3.9,-0.002557544757033292
17/05/1963,3.92,0.00512820512820511
20/05/1963,3.93,0.0025510204081633514
21/05/1963,3.92,-0.0025445292620865922
22/05/1963,3.92,0.0
23/05/1963,3.93,0.0025510204081633514
24/05/1963,3.95,0.0050890585241729624
27/05/1963,3.95,0.0
28/05/1963,3.96,0.0025316455696202667
29/05/1963,3.96,0.0
31/05/1963,3.96,0.0
03/06/1963,3.98,0.005050505050504972
04/06/1963,3.98,0.0
05/06/1963,3.98,0.0
06/06/1963,3.99,0.002512562814070307
07/06/1963,3.99,0.0
10/06/1963,3.99,0.0
11/06/1963,3.98,-0.0025062656641604564
12/06/1963,3.99,0.002512562814070307
13/06/1963,3.99,0.0
14/06/1963,3.99,0.0
17/06/1963,4.0,0.0025062656641603454
18/06/1963,4.0,0.0
19/06/1963,4.0,0.0
20/06/1963,4.0,0.0
21/06/1963,4.0,0.0
24/06/1963,4.0,0.0
25/06/1963,4.0,0.0
26/06/1963,4.0,0.0
27/06/1963,4.0,0.0
28/06/1963,4.0,0.0
01/07/1963,4.01,0.0024999999999999467
02/07/1963,4.03,0.004987531172069959
03/07/1963,4.03,0.0
05/07/1963,4.04,0.002481389578163684
08/07/1963,4.05,0.0024752475247524774
09/07/1963,4.04,-0.0024691358024691024
10/07/1963,4.03,-0.0024752475247524774
11/07/1963,4.04,0.002481389578163684
12/07/1963,4.03,-0.0024752475247524774
15/07/1963,4.02,-0.002481389578163906
16/07/1963,4.02,0.0
17/07/1963,4.03,0.0024875621890549926
18/07/1963,4.02,-0.002481389578163906
19/07/1963,4.02,0.0
22/07/1963,4.02,0.0
23/07/1963,4.02,0.0
24/07/1963,4.01,-0.0024875621890546595
25/07/1963,4.01,0.0
26/07/1963,3.99,-0.004987531172069737
29/07/1963,3.99,0.0
30/07/1963,4.0,0.0025062656641603454
31/07/1963,4.0,0.0
01/08/1963,3.99,-0.0024999999999999467
02/08/1963,3.99,0.0
05/08/1963,3.99,0.0
06/08/1963,4.0,0.0025062656641603454
07/08/1963,4.01,0.0024999999999999467
08/08/1963,4.0,-0.0024937655860348684
09/08/1963,4.0,0.0
12/08/1963,4.01,0.0024999999999999467
13/08/1963,4.02,0.0024937655860348684
14/08/1963,4.02,0.0
15/08/1963,4.01,-0.0024875621890546595
16/08/1963,4.0,-0.0024937655860348684
19/08/1963,3.99,-0.0024999999999999467
20/08/1963,3.99,0.0
21/08/1963,4.0,0.0025062656641603454
22/08/1963,4.0,0.0
23/08/1963,4.0,0.0
26/08/1963,4.0,0.0
27/08/1963,4.0,0.0
28/08/1963,4.0,0.0
29/08/1963,4.01,0.0024999999999999467
30/08/1963,4.02,0.0024937655860348684
03/09/1963,4.03,0.0024875621890549926
04/09/1963,4.04,0.002481389578163684
05/09/1963,4.08,0.00990099009900991
06/09/1963,4.09,0.002450980392156854
09/09/1963,4.09,0.0
10/09/1963,4.09,0.0
11/09/1963,4.09,0.0
12/09/1963,4.09,0.0
13/09/1963,4.09,0.0
16/09/1963,4.09,0.0
17/09/1963,4.09,0.0
18/09/1963,4.08,-0.0024449877750610804
19/09/1963,4.08,0.0
20/09/1963,4.07,-0.002450980392156854
23/09/1963,4.07,0.0
24/09/1963,4.08,0.002457002457002311
25/09/1963,4.08,0.0
26/09/1963,4.08,0.0
27/09/1963,4.07,-0.002450980392156854
30/09/1963,4.07,0.0
01/10/1963,4.07,0.0
02/10/1963,4.07,0.0
03/10/1963,4.07,0.0
04/10/1963,4.08,0.002457002457002311
07/10/1963,4.08,0.0
08/10/1963,4.09,0.002450980392156854
09/10/1963,4.1,0.0024449877750609694
10/10/1963,4.1,0.0
11/10/1963,4.1,0.0
14/10/1963,4.1,0.0
15/10/1963,4.11,0.0024390243902441266
16/10/1963,4.11,0.0
17/10/1963,4.12,0.0024330900243307862
18/10/1963,4.12,0.0
21/10/1963,4.12,0.0
22/10/1963,4.11,-0.0024271844660194164
23/10/1963,4.12,0.0024330900243307862
24/10/1963,4.11,-0.0024271844660194164
25/10/1963,4.12,0.0024330900243307862
28/10/1963,4.12,0.0
29/10/1963,4.13,0.0024271844660193054
30/10/1963,4.14,0.002421307506053294
31/10/1963,4.15,0.0024154589371983004
01/11/1963,4.15,0.0
04/11/1963,4.15,0.0
06/11/1963,4.17,0.004819277108433662
07/11/1963,4.17,0.0
08/11/1963,4.16,-0.0023980815347721673
12/11/1963,4.16,0.0
13/11/1963,4.15,-0.0024038461538461453
14/11/1963,4.12,-0.0072289156626507145
15/11/1963,4.11,-0.0024271844660194164
18/11/1963,4.11,0.0
19/11/1963,4.1,-0.0024330900243311193
20/11/1963,4.09,-0.0024390243902439046
21/11/1963,4.1,0.0024449877750609694
22/11/1963,4.09,-0.0024390243902439046
26/11/1963,4.08,-0.0024449877750610804
27/11/1963,4.08,0.0
29/11/1963,4.08,0.0
02/12/1963,4.09,0.002450980392156854
03/12/1963,4.1,0.0024449877750609694
04/12/1963,4.1,0.0
05/12/1963,4.11,0.0024390243902441266
06/12/1963,4.11,0.0
09/12/1963,4.1,-0.0024330900243311193
10/12/1963,4.1,0.0
