DATE,TB3MS,returns
1957-04-01,3.07,-0.0032467532467532756
1957-05-01,3.06,-0.0032573289902279035
1957-06-01,3.29,0.07516339869281041
1957-07-01,3.16,-0.03951367781155013
1957-08-01,3.37,0.06645569620253156
1957-09-01,3.53,0.047477744807121525
1957-10-01,3.58,0.014164305949008638
1957-11-01,3.31,-0.07541899441340782
1957-12-01,3.04,-0.08157099697885195
1958-01-01,2.44,-0.19736842105263164
1958-02-01,1.53,-0.3729508196721312
1958-03-01,1.3,-0.15032679738562094
1958-04-01,1.13,-0.13076923076923086
1958-05-01,0.91,-0.19469026548672552
1958-06-01,0.83,-0.08791208791208793
1958-07-01,0.91,0.09638554216867479
1958-08-01,1.69,0.857142857142857
1958-09-01,2.44,0.44378698224852076
1958-10-01,2.63,0.07786885245901631
1958-11-01,2.67,0.015209125475285079
1958-12-01,2.77,0.03745318352059934
1959-01-01,2.82,0.018050541516245522
1959-02-01,2.7,-0.04255319148936154
1959-03-01,2.8,0.03703703703703698
1959-04-01,2.95,0.0535714285714286
1959-05-01,2.84,-0.03728813559322042
1959-06-01,3.21,0.130281690140845
1959-07-01,3.2,-0.0031152647975076775
1959-08-01,3.38,0.05624999999999991
1959-09-01,4.04,0.19526627218934922
1959-10-01,4.05,0.0024752475247524774
1959-11-01,4.15,0.024691358024691468
1959-12-01,4.49,0.08192771084337336
1960-01-01,4.35,-0.03118040089086871
1960-02-01,3.96,-0.08965517241379306
1960-03-01,3.31,-0.16414141414141414
1960-04-01,3.23,-0.024169184290030232
1960-05-01,3.29,0.018575851393188847
1960-06-01,2.46,-0.2522796352583587
1960-07-01,2.3,-0.06504065040650409
1960-08-01,2.3,0.0
1960-09-01,2.48,0.07826086956521738
1960-10-01,2.3,-0.07258064516129037
1960-11-01,2.37,0.0304347826086957
1960-12-01,2.25,-0.05063291139240511
1961-01-01,2.24,-0.004444444444444362
1961-02-01,2.42,0.0803571428571428
1961-03-01,2.39,-0.012396694214875992
1961-04-01,2.29,-0.04184100418410042
1961-05-01,2.29,0.0
1961-06-01,2.33,0.017467248908296984
1961-07-01,2.24,-0.03862660944205998
1961-08-01,2.39,0.06696428571428559
1961-09-01,2.28,-0.046025104602510636
1961-10-01,2.3,0.00877192982456143
1961-11-01,2.48,0.07826086956521738
1961-12-01,2.6,0.048387096774193505
1962-01-01,2.72,0.04615384615384621
1962-02-01,2.73,0.003676470588235281
1962-03-01,2.72,-0.003663003663003539
1962-04-01,2.73,0.003676470588235281
1962-05-01,2.69,-0.014652014652014711
1962-06-01,2.73,0.014869888475836479
1962-07-01,2.92,0.06959706959706957
1962-08-01,2.82,-0.03424657534246578
1962-09-01,2.78,-0.014184397163120588
1962-10-01,2.74,-0.014388489208632893
1962-11-01,2.83,0.03284671532846706
1962-12-01,2.87,0.014134275618374659
1963-01-01,2.91,0.013937282229965264
1963-02-01,2.92,0.0034364261168384758
1963-03-01,2.89,-0.010273972602739656
1963-04-01,2.9,0.0034602076124565784
1963-05-01,2.93,0.010344827586207028
1963-06-01,2.99,0.020477815699658786
1963-07-01,3.18,0.0635451505016722
1963-08-01,3.32,0.04402515723270439
1963-09-01,3.38,0.01807228915662651
1963-10-01,3.45,0.020710059171597628
1963-11-01,3.52,0.020289855072463725
1963-12-01,3.52,0.0
1964-01-01,3.52,0.0
1964-02-01,3.53,0.0028409090909089496
1964-03-01,3.54,0.0028328611898018607
1964-04-01,3.47,-0.019774011299435013
1964-05-01,3.48,0.0028818443804032867
1964-06-01,3.48,0.0
1964-07-01,3.46,-0.005747126436781658
1964-08-01,3.5,0.011560693641618602
1964-09-01,3.53,0.008571428571428452
1964-10-01,3.57,0.011331444759206777
1964-11-01,3.64,0.019607843137255054
