ID,precio estimado,precio_venta,fecha,autor,casa subasta,tipo,tecnica,dimensiones,precio estimado dolares,precio venta dolares
1491,"2,000 - 3,000 gbp","4,080 gbp","nov 10, 2020",daniel hernandez,bonhams knightsbridge,british and european art,oil on canvas,69.8 x 48.9cm 27 1/2 x 19 1/4in,3240.0,4406.400000000001
1492,"3,000 - 5,000 usd","2,600 usd","oct 25, 2020",jose maria mijares,treadway gallery,decorative arts auction,oil on board,"image 21.5""h x 31.5""w",5000.0,2600.0
1493,"1,700 - 2,200 usd","1,875 usd","oct 25, 2020",jose maria mijares,treadway gallery,decorative arts auction,oil on canvas,"61.5""h x 50""w",2200.0,1875.0
1494,"6,000 - 9,000 usd","8,450 usd","oct 21, 2020",ignacio iturria,rago arts and auction center,20 | 21 art,oil on canvas,78 h aa 20 w in,9000.0,8450.0
1495,"6,000 - 9,000 usd","8,960 usd","oct 21, 2020",ignacio iturria,rago arts and auction center,20 | 21 art,acrylic on canvas,39 h aa 32 w in,9000.0,8960.0
1496,"6,000 - 9,000 usd","8,320 usd","oct 21, 2020",ignacio iturria,rago arts and auction center,20 | 21 art,oil on canvas,38½ h aa 51 w in,9000.0,8320.0
1497,500 - 700 usd,500 usd,"oct 20, 2020",benito ramos catalan,"john moran auctioneers, inc.",studio fine art,oil on canvas,"29.25"" h x 37.25"" w d",700.0,500.0
1498,"6,000 - 8,000 usd","5,500 usd*","oct 18, 2020",eduardo kingman,a.n. abell auction company,quarterly fine art / antiques auction,oil on canvas,31 x 39 inches,8000.0,5500.0
1499,"1,500 - 2,000 usd","2,000 usd*","oct 18, 2020",jose maria mijares,a.n. abell auction company,quarterly fine art / antiques auction,oil on canvas,36 x 27 1/2 inches,2000.0,2000.0
1500,400 - 600 usd,"3,900 usd","oct 15, 2020",wilson bigaud,toomey & co. auctioneers,interiors,oil on masonite,"24"" x 30""",600.0,3900.0
1501,"4,000 - 5,000 usd","3,000 usd*","oct 08, 2020",ignacio iturria,zorrilla,uruguayan and foreign painting carpets and tapestries,oil on canvas,73 x 60 cm,5000.0,3000.0
1502,"2,000 - 3,000 usd","3,400 usd*","sep 28, 2020 - oct 07, 2020",ignacio iturria,castells,online: classic national art,oil on canvas,30 x 30 cm,3000.0,3400.0
1503,"4,000 - 6,000 eur","3,400 eur*","oct 05, 2020",oswaldo guayasamin,haynault - uccle,"european paintings, furniture and antiques",oil on canvas,hauteur (cm) : 92 - largeur (cm) : 64,5820.0,3298.0
1504,"6,000 - 8,000 usd","24,320 usd","sep 30, 2020",angel botello,"hindman, chicago",american and european art,oil on masonite,30 ½ x 19 ½ inches,8000.0,24320.0
1505,"50,000 - 60,000 mxn","45,000 mxn*","sep 30, 2020",horacio renteria rocha,"morton auctions, monte athos",antiques traditional auction,oil on canvas,55 x 40 cm,3000.0,2250.0
1506,"50,000 - 60,000 mxn","45,000 mxn*","sep 30, 2020",horacio renteria rocha,"morton auctions, monte athos",antiques traditional auction,oil on canvas,50 x 42 cm,3000.0,2250.0
1507,"1,000 - 2,000 usd","2,200 usd*","sep 19, 2020",horacio renteria rocha,leland little auction & estate sales,the important fall auction,oil on canvas,23.25 x 17.75 in,2000.0,2200.0
1508,"9,000 usd","9,000 usd*","sep 17, 2020",florencio molina campos,roldan auctions,online auction,tempera,29 x 40 cm,9000.0,9000.0
1509,"1,200 eur","1,300 eur*","sep 15, 2020",ignacio iturria,segre auctions,september auctions - first session: painting and sculpture,oil on canvas,59 x 72 cm,1164.0,1261.0
1510,"4,000 - 6,000 eur","6,223 eur","sep 12, 2020",daniel hernandez,fauveparis,#ventefauve226,oil on canvas,h. 24 cm l. 19 5/8 cm,5820.0,6036.3099999999995
1511,"130,000 - 230,000 mxn","125,000 mxn*","sep 05, 2020",carlos orozco romero,"morton auctions, monte athos",auction of modern art. includes a section of books about art.,oil on canvas,34 x 54 cm,11500.0,6250.0
1512,"6,000 - 8,000 usd","3,250 usd*","aug 30, 2020",jose clemente orozco,thomaston place auction galleries,summer's bounty - part two - day 2,oil on canvas laid to upson board,"29"" x 23 1/2"",",8000.0,3250.0
1513,"1,500 - 3,000 usd","1,200 usd*","aug 29, 2020",horacio renteria rocha,austin auction gallery,day 2- august 2020 western & estates auction,oil on canvas painting,"28.25""h, 22.75""w",3000.0,1200.0
1514,"46,000 - 70,000 mxn","40,000 mxn*","aug 27, 2020",roberto montenegro,"morton auctions, monte athos","painting, drawing and sculpture auction",oil on wood,36.5 x 31 cm,3500.0,2000.0
1515,"3,500 - 4,500 usd","3,000 usd*","aug 16, 2020 - aug 26, 2020",ignacio iturria,castells,online: modern and contemporary art,oil on canvas,60 x 40 cm,4500.0,3000.0
1516,"5,000 - 8,000 usd","3,500 usd*","aug 16, 2020 - aug 26, 2020",ignacio iturria,castells,online: modern and contemporary art,oil on canvas,80 x 100 cm,8000.0,3500.0
1517,"6,000 - 8,000 usd","8,200 usd","jul 30, 2020 - aug 06, 2020",jose maria mijares,bonhams new york,post-war & contemporary art online,mixed media on wood,15 3/4 by 21 3/4 in40 by 55.2 cm,8000.0,8200.0
1518,"7,000 - 9,000 usd","6,950 usd","jul 30, 2020 - aug 06, 2020",jose maria mijares,bonhams new york,post-war & contemporary art online,mixed media on canvas,24 by 18 in69.9 by 45.7 cm,9000.0,6950.0
1519,600 - 800 usd,850 usd*,"jul 25, 2020 - aug 05, 2020",ignacio iturria,castells,online auction of national art,oil on cardboard,35 x 46 cm,800.0,850.0
1520,"800 - 1,200 usd","1,200 usd*","jul 25, 2020 - aug 05, 2020",ignacio iturria,castells,online auction of national art,oil on canvas,50 x 60 cm,1200.0,1200.0
1521,"6,000 - 8,000 usd","5,000 usd*","jul 25, 2020 - aug 05, 2020",ignacio iturria,castells,online auction of national art,oil on canvas,60 x 73 cm,8000.0,5000.0
1522,"15,000 - 20,000 usd","12,500 usd","jul 21, 2020 - aug 04, 2020",angel botello,christie's online,latin american art online,oil on wood panel,30 x 48 in. (76.2 x 121.9 cm.),20000.0,12500.0
1523,"12,000 - 18,000 usd","23,750 usd","jul 21, 2020 - aug 04, 2020",florencio molina campos,christie's online,latin american art online,gouache on paper laid on board,13 3a8 x 19 5a8 in. (34 x 50 cm.),18000.0,23750.0
1524,"80,000 - 120,000 usd","75,000 usd","jul 30, 2020",gunther gerzso,christie's new york,latin american art,oil on canvas,21 ½ x 32 in. (54.6 x 81.3 cm.),120000.0,75000.0
1525,"40,000 - 60,000 usd","40,000 usd","jul 30, 2020",ana mercedes hoyos,christie's new york,latin american art,oil on canvas,59 x 59 in. (150 x 150 cm.),60000.0,40000.0
1526,"20,000 - 25,000 usd","50,000 usd","jul 30, 2020",alejandro obregon,christie's new york,latin american art,oil on wood,21 ½ x 16 ½ in. (55 x 42 cm.),25000.0,50000.0
1527,"70,000 - 90,000 usd","137,500 usd","jul 30, 2020",gunther gerzso,christie's new york,latin american art,oil on canvas,32 x 39 ½ in. (81.3 x 100.3 cm.),90000.0,137500.0
1528,"70,000 - 90,000 usd","93,750 usd","jul 30, 2020",oswaldo guayasamin,christie's new york,latin american art,oil on canvas,51 ¾ x 19 ¾ in. (131.4 x 50.2 cm.),90000.0,93750.0
1529,"50,000 - 70,000 usd","112,500 usd","jul 30, 2020",amelia pelaez,christie's new york,latin american art,gouache on paper laid on board,30 ½ x 40 in. (77.5 x 102 cm.),70000.0,112500.0
1530,100 - 150 eur,185 eur*,"jul 02, 2020 - jul 09, 2020",horacio renteria rocha,blanchet & associes,online: modern & contemporary art,oil on canvas,58 x 44 cm,145.5,179.45
1531,"20,000 - 30,000 usd","31,250 usd","jun 30, 2020",julio larraz,sotheby's new york,contemporary art day auction,oil on canvas,19 by 23 in. 48.3 by 58.4 cm,30000.0,31250.0
1532,"150,000 - 200,000 usd","175,000 usd","jun 30, 2020",gunther gerzso,sotheby's new york,contemporary art day auction,oil on masonite,21¼ by 29⅛ in. 54 by 74 cm,200000.0,175000.0
1533,"500,000 - 700,000 usd","524,000 usd","jun 29, 2020",jose clemente orozco,sotheby's new york,impressionist & modern art day sale,oil on masonite,24 by 29¼ in. (61 by 74.3 cm) frame,700000.0,524000.0
1534,"70,000 - 90,000 usd","81,250 usd","jun 29, 2020",oswaldo guayasamin,sotheby's new york,impressionist & modern art day sale,oil on canvas,39⅜ by 39⅜ in. (100 by 100 cm) frame,90000.0,81250.0
1535,"70,000 - 90,000 usd","75,000 usd","jun 29, 2020",emiliano di cavalcanti,sotheby's new york,impressionist & modern art day sale,oil on canvas,19 by 15 in. (48.3 by 38.1 cm) frame,90000.0,75000.0
1536,"600,000 - 800,000 usd","596,000 usd","jun 29, 2020",jose clemente orozco,sotheby's new york,impressionist & modern art day sale,oil on canvas,26¼ by 32¼ in. (66.6 by 81.9 cm) frame,800000.0,596000.0
1537,"1,500 - 2,500 usd","1,500 usd","jun 26, 2020",seneque obin,freeman's,art + design,oil on masonite,19 5/8 x 23 1/2 in. (50 x 60cm),2500.0,1500.0
1538,"6,000 eur","8,500 eur*","jun 23, 2020",oswaldo guayasamin,ansorena,auction 402 - session 1 paintings & decorative arts,oil on cardboard,68 x 36 cm,5820.0,8245.0
1539,400 - 600 eur,280 eur*,"jun 22, 2020 - jun 23, 2020",wilson bigaud,horta auction house,sale of art and antiques,oil on canvas,25 x 38 cm,582.0,271.59999999999997
1540,"25,000 - 35,000 usd","27,500 usd","jun 23, 2020",julio larraz,rago arts and auction center,post war + contemporary art,oil on canvas,38 h aa 44 w,35000.0,27500.0
1541,"5,000 - 8,000 eur","7,803 eur","jun 19, 2020",florencio molina campos,millon & associes,small works by grand masters collection of works by dora mir (1907 - 1997) georges lacombe (1868 - 1916),gouache,"32,5 x 49 cm",7760.0,7568.91
1542,"280,000 - 400,000 mxn","260,000 mxn*","jun 18, 2020",roberto montenegro,"morton auctions, monte athos",latin american art auction,oil on canvas,56 x 65 cm; 60 x 50 cm,20000.0,13000.0
1543,"30,000 - 40,000 eur","20,000 eur","jun 02, 2020 - jun 18, 2020",guillermo kuitca,christie's online,online: post-war & contemporary art: amsterdam,acrylic on canvas,213 x 203cm.,38800.0,19400.0
1544,"6,000 - 8,000 usd","7,500 usd","jun 18, 2020",eduardo kingman,"heritage auctions, dallas",modern & contemporary art signature auction - dallas,oil on canvas,25 x 25 inches (63.5 x 63.5 cm),8000.0,7500.0
1545,"130,000 - 200,000 mxn","120,000 mxn*","jun 18, 2020",jesus guerrero galvan,"morton auctions, monte athos",latin american art auction,oil on canvas,117 x 92 cm,10000.0,6000.0
1546,"150,000 - 200,000 mxn","140,000 mxn*","jun 18, 2020",ignacio iturria,"morton auctions, monte athos",latin american art auction,oil on cardboard,73 x 100 cm,10000.0,7000.0
1547,"420,000 - 600,000 mxn","540,000 mxn*","jun 18, 2020",carlos merida,"morton auctions, monte athos",latin american art auction,acrylic on wood,81 x 61 cm,30000.0,27000.0
1548,"3,500 - 4,000 eur","3,500 eur*","jun 02, 2020 - jun 03, 2020",oswaldo guayasamin,goya auctions,auction,oil on canvas,53 x 71 cm,3880.0,3395.0
1549,"2,500 - 3,500 usd","2,600 usd*","may 22, 2020 - jun 03, 2020",ignacio iturria,castells,national art,oil on canvas,47 x 39 cm,3500.0,2600.0
1550,"10,000 - 15,000 usd","15,075 usd","may 13, 2020 - may 27, 2020",jose maria mijares,bonhams new york,online: modern & contemporary art: 20th century to today,mixed media on board,17 7/8 x 17 7/8 in (45.3 x 45.3 cm),15000.0,15075.0
1551,"6,000 - 8,000 usd","16,325 usd","may 13, 2020 - may 27, 2020",jose maria mijares,bonhams new york,online: modern & contemporary art: 20th century to today,mixed media on canvas,29 1/2 x 17 1/4 in (75 x 43.7 cm),8000.0,16325.0
1552,"800 - 1,200 usd","1,625 usd","may 27, 2020",jose maria mijares,"hindman, palm beach",palm beach collections,oil on canvas,36 x 24 inches,1200.0,1625.0
1553,"20,000 - 40,000 usd","28,160 usd","may 21, 2020",ricardo martinez de hoyos,"hindman, chicago",post war and contemporary art,oil on canvas,21 x 24 inches,40000.0,28160.0
1554,"120,000 - 180,000 mxn","100,000 mxn","may 21, 2020",carlos orozco romero,"morton auctions, monte athos","painting, drawing and sculpture auction",oil on canvas,30 x 45.5 cm,9000.0,5000.0
1555,"40,000 eur","42,000 eur*","may 21, 2020",oswaldo guayasamin,ansorena,session 2 - paintings and decorative arts,oil on canvas,63 x 89 cm,38800.0,40740.0
1556,"46,000 - 60,000 mxn","40,000 mxn","may 21, 2020",horacio renteria rocha,"morton auctions, monte athos","painting, drawing and sculpture auction",oil on canvas,65 x 45 cm,3000.0,2000.0
1557,"15,000 - 25,000 usd","9,500 usd*","may 20, 2020",guillermo kuitca,revere auctions,online only: fine and decorative art,painting in oil on canvas,height: 11 1/2 in x width: 9 1/4 in.,25000.0,9500.0
1558,"40,000 - 60,000 usd","75,000 usd","may 04, 2020 - may 18, 2020",carlos merida,sotheby's new york,impressionist & modern art day sale online,oil on canvas,38½ by 28⅛ in. (97.5 by 71.5 cm) frame,60000.0,75000.0
1559,"6,000 - 8,000 eur","8,060 eur","may 15, 2020",florencio molina campos,millon & associes,"modern art, xixth paintings and paris school",oil on canvas,"132,5 x 75,5 cm",7760.0,7818.2
1560,"1,000 - 2,000 usd",950 usd*,"may 02, 2020",horacio renteria rocha,clark's fine art gallery & auctioneers inc.,19th to 21st century art,oil on canvas,29 1/2 x 24 in,2000.0,950.0
1561,600 - 800 usd,750 usd,"mar 26, 2020",emiliano di cavalcanti,millea bros.,fringe + abc,brush and ink on board,19.5 x 22.5 in (frame),800.0,750.0
1562,"40,000 - 60,000 usd","40,000 usd","mar 05, 2020",guillermo kuitca,christie's new york,post-war to present,oil and colored pencil on linen,71 x 68 5/8 in. (180.3 x 174.3 cm.),60000.0,40000.0
1563,"60,000 - 75,000 dkk","100,000 dkk*","mar 03, 2020",victor manuel,bruun rasmussen bredgade,"paintings, sculptures & photo",oil on board,47aa34 cm.,9750.0,13000.0
1564,"6,000 - 8,000 usd","3,000 usd*","mar 01, 2020",jose clemente orozco,thomaston place auction galleries,2020 winter auction weekend - day 3,oil on canvas laid to upson board,"29"" x 23 1/2"",",8000.0,3000.0
1565,"50,000 - 60,000 mxn","55,000 mxn*","feb 27, 2020",horacio renteria rocha,"morton auctions, monte athos","painting, drawing and sculpture auction",oil on canvas on fiberglass,60 x 46.5 cm,3000.0,2750.0
1566,"120,000 - 200,000 mxn","110,000 mxn*","feb 27, 2020",roberto montenegro,"morton auctions, monte athos","painting, drawing and sculpture auction",oil on canvas,65 x 56 cm,10000.0,5500.0
1567,"50,000 - 60,000 mxn","46,000 mxn*","feb 27, 2020",horacio renteria rocha,"morton auctions, monte athos","painting, drawing and sculpture auction",oil on canvas,60 x 46 cm,3000.0,2300.0
1568,"2,000,000 - 3,000,000 mxn","4,000,000 mxn*","feb 27, 2020",dr. atl,"morton auctions, monte athos","painting, drawing and sculpture auction",oil on masonite,40.5 x 64 cm,150000.0,200000.0
1569,"3,000 - 5,000 usd","2,500 usd*","feb 15, 2020",joaquin clausell,simpson galleries,fine art & antiques session 1,oil,"7 1/2"" x 12""",5000.0,2500.0
1570,500 - 700 usd,"1,500 usd*","feb 15, 2020",horacio renteria rocha,simpson galleries,fine art & antiques session 1,oil on canvas,"15 """,700.0,1500.0
1571,"3,000 - 5,000 usd","7,200 usd*","feb 08, 2020",jesus guerrero galvan,michin's auctions,february gallery auction,oil on board,10 3/4 x 8 1/2 inches,5000.0,7200.0
1572,"2,500 - 3,000 usd","2,000 usd*","jan 25, 2020",alejandro obregon,antiques & modern auction gallery,"fine artwork, sculpture & decorative arts",acrylic on masonite,"15 5/8"" x 12 3/8""",3000.0,2000.0
1573,"20,000 - 40,000 usd","21,250 usd","jan 24, 2020",alejandro obregon,"skinner, marlborough",fine paintings & sculpture,oil on canvas,21 1/4 x 25 3/4 in. (54.0 x 65.5 cm),40000.0,21250.0
1574,"3,500 - 4,500 usd","2,500 usd*","jan 09, 2020",ignacio iturria,castells,modern and contemporary art,oil on canvas,"15,8 x 24 in",4500.0,2500.0
1575,"2,000 - 4,000 usd","3,125 usd","jan 08, 2020",horacio renteria rocha,doyle new york,doyle at home®,oil on canvas,each 24 x 18 1/4 inches,4000.0,3125.0
1576,"1,000 - 2,000 usd","1,397 usd","jan 01, 2020",eduardo kingman,nadeau's,annual new year's day auction,oil on board,"21 1/2"" x 11""",2000.0,1397.0
1577,"18,000 eur","18,000 eur*","dec 18, 2019",victor manuel,sala retiro auction house,extraordinary christmas art sale,oil on canvas,42 x 34 cm,17460.0,17460.0
1578,600 - 900 usd,475 usd*,"dec 07, 2019",wilson bigaud,rachel davis fine arts,"prints, drawings, fine & decorative arts",oil on canvas,"20 x 24""",900.0,475.0
1579,400 - 700 usd,700 usd*,"dec 07, 2019",wilson bigaud,rachel davis fine arts,"prints, drawings, fine & decorative arts",oil on masonite,"24 x 48""",700.0,700.0
1580,600 - 900 usd,300 usd*,"dec 07, 2019",wilson bigaud,rachel davis fine arts,"prints, drawings, fine & decorative arts",oil on panel,"18 x 24""",900.0,300.0
1581,"150,000 - 220,000 mxn","200,000 mxn*","dec 05, 2019",jesus guerrero galvan,"morton auctions, monte athos",new year's eve modern and contemporary art,oil on canvas,65 x 50 cm,11000.0,10000.0
1582,"150,000 - 220,000 mxn","120,000 mxn*","dec 05, 2019",ignacio iturria,"morton auctions, monte athos",new year's eve modern and contemporary art,oil on canvas,97 x 129 cm,11000.0,6000.0
1583,"35,000 - 55,000 eur","32,000 eur*","nov 29, 2019",julio larraz,farsetti arte,contemporary art,oil painting on canvas,"cm. 152x122,5",53350.0,31040.0
1584,"5,000 - 7,000 usd","6,250 usd","nov 26, 2019",angel botello,christie's online,latin american art online,oil on masonite,4 x 16 in. (48.9 x 40.6 cm.),7000.0,6250.0
1585,"130,000 - 180,000 hkd","84,700 hkd","nov 24, 2019",victor manuel,"est-ouest auctions, hong kong","2019 autumn sale hong kong - modern, post-war & contemporary art",oil on canvas,46 x 38 cm,23400.0,11011.0
1586,"60,000 - 70,000 eur","33,000 eur*","nov 24, 2019",julio larraz,meeting art auctions,modern and contemporary paintings -869- second session,oil on canvas,185x153 cm,67900.0,32010.0
1587,"1,000 - 1,500 usd",850 usd,"nov 24, 2019",victor manuel,clarke auction,"fine art, jewelry, mid-century & antique estate auction",gouache,"18,25 x 14,25 in",1500.0,850.0
1588,"5,000 - 7,000 usd","26,000 usd*","nov 21, 2019 - nov 23, 2019",hector hyppolite,millea bros.,select: 3 day auction,oil on cardboard,30 x 24 in.,7000.0,26000.0
1589,"60,000 - 80,000 usd","68,750 usd","nov 21, 2019",dr. atl,christie's new york,latin american art,oil and atl colors on masonite,16 ¾ x 21 in. (42.5 x 53.3 cm.),80000.0,68750.0
1590,"60,000 - 80,000 usd","62,500 usd","nov 21, 2019",oswaldo guayasamin,christie's new york,latin american art,oil on canvas,29 ¾ x 47 ½ in. (75.6 x 120.7 cm.),80000.0,62500.0
1591,"60,000 - 80,000 usd","75,000 usd","nov 21, 2019",julio larraz,christie's new york,latin american art,oil on canvas,73 x 73 in. (185.4 x 185.4 cm.),80000.0,75000.0
1592,"70,000 - 90,000 usd","200,000 usd","nov 21, 2019",juan o'gorman,christie's new york,latin american art,tempera on masonite,17 ¼ x 24 in. (43.8 x 61 cm.),90000.0,200000.0
1593,"12,000 - 18,000 usd","13,750 usd","nov 21, 2019",roberto montenegro,christie's new york,latin american art,oil on canvas,35 x 31 in. (88.9 x 78.7 cm.),18000.0,13750.0
1594,"25,000 - 30,000 usd","25,000 usd","nov 21, 2019",emiliano di cavalcanti,christie's new york,latin american art,oil on canvas,9 ½ x 13 ¾ in. (24.1 x 34.9 cm.),30000.0,25000.0
1595,"60,000 - 80,000 usd","62,500 usd","nov 21, 2019",ana mercedes hoyos,christie's new york,latin american art,oil on canvas,46 7/8 x 46 5/8 in. (119 x 118.4 cm.),80000.0,62500.0
1596,"60,000 - 80,000 usd","50,000 usd","nov 21, 2019",ricardo martinez de hoyos,christie's new york,latin american art,oil on canvas,37 7/8 x 59 ¼ in. (96.2 x 151 cm.),80000.0,50000.0
1597,"60,000 - 80,000 usd","162,500 usd","nov 21, 2019",ricardo martinez de hoyos,christie's new york,latin american art,oil on canvas,31 ½ x 41 in. (80 x 104.1 cm.),80000.0,162500.0
1598,"70,000 - 90,000 usd","118,750 usd","nov 21, 2019",gunther gerzso,christie's new york,latin american art,oil on masonite,25 5/8 x 19 5/8 in. (65 x 50 cm.),90000.0,118750.0
1599,"15,000 - 20,000 usd","15,000 usd","nov 21, 2019",ana mercedes hoyos,christie's new york,latin american art,acrylic on linen,59 ¼ x 41 ¾ in. (150.5 x 106 cm.),20000.0,15000.0
1600,"30,000 - 50,000 usd","37,500 usd","nov 21, 2019",guillermo kuitca,christie's new york,latin american art,acrylic on canvas,90 3/8 x 78 ¼ in. (230 x 199 cm.),50000.0,37500.0
1601,"8,000 - 12,000 usd","14,000 usd*","nov 20, 2019",victor manuel,kodner galleries,"latin american art, estate jewelry & collectibles",oil on canvas,"20"" h x 16"" w, frame measures 36-1/2"" h x...",12000.0,14000.0
1602,"4,000 - 6,000 usd","3,250 usd","nov 19, 2019",wilson bigaud,"john moran auctioneers, inc.",20th century art + design,oil on canvas,41.25 x 50 x 1.5in,6000.0,3250.0
1603,"4,000 - 6,000 usd","7,320 usd","nov 17, 2019",angel botello,grogan & company,the fall auction,oil on masonite,25 x 20 in,6000.0,7320.0
1604,"950,000 - 1,200,000 mxn","900,000 mxn*","nov 14, 2019",oswaldo guayasamin,"morton auctions, monte athos",latin american art,oil on canvas,61 x 140 cm.,60000.0,45000.0
1605,"50,000 - 70,000 mxn","55,000 mxn*","nov 14, 2019",horacio renteria rocha,"morton auctions, monte athos",latin american art,oil on canvas,60 x 46 cm.,3500.0,2750.0
1606,"60,000 - 80,000 usd","137,500 usd","nov 13, 2019",oswaldo guayasamin,sotheby's new york,impressionist & modern art day sale,oil on canvas,51 1/4 by 32 1/8 in.130.2 by 81.6 cm,80000.0,137500.0
1607,"200,000 - 300,000 usd","350,000 usd","nov 13, 2019",gunther gerzso,sotheby's new york,impressionist & modern art day sale,oil and sand on board,40 by 30 in.101.6 by 76.2 cm,300000.0,350000.0
1608,"25,000 - 35,000 brl","38,000 brl*","nov 12, 2019",emiliano di cavalcanti,"bolsa de arte auctions, sao paulo",modern art / cotemporary art,oil on canvas.,27 x 41 cm.,6650.0,7220.0
1609,"25,000 - 35,000 usd","25,075 usd","nov 12, 2019",oswaldo guayasamin,bonhams new york,impressionist & modern art,oil on canvas,29 1/2 x 15 3/4 in (74.9 x 40 cm),35000.0,25075.0
1610,"3,000 - 5,000 usd","7,000 usd*","nov 10, 2019",ricardo martinez de hoyos,leonard auction,november auction,oil on canvas,39 1/2 x 50 1/8in,5000.0,7000.0
1611,"8,000 - 12,000 usd","6,500 usd","nov 09, 2019 - nov 10, 2019",carlos alfonzo,palm beach modern auctions,"modern art & design: 3 sessions, fall 2019",cuban/american; canvas,"47.5""",12000.0,6500.0
1612,"3,000 - 4,000 usd","4,000 usd*","oct 30, 2019",ignacio iturria,castells,national paintings,oil on canvas,36 x 46 cm,4000.0,4000.0
1613,"2,000 - 3,000 usd","1,350 usd*","oct 30, 2019",ignacio iturria,castells,national paintings,oil on canvas,38 x 46 cm,3000.0,1350.0
1614,"20,000 - 40,000 usd","14,000 usd*","oct 26, 2019",angel botello,clark's fine art gallery & auctioneers inc.,"modern, contemporary & latin american art",oil painting thin card artist mounted to wood panel,61 x 25 ¼a,40000.0,14000.0
1615,"2,000 - 3,000 eur","4,000 eur*","oct 25, 2019",ignacio iturria,drouot-estimations,"contemporary art, street art & design - jewels & fashion",oil on canvas,116 x 89 cm,2910.0,3880.0
1616,"2,000 - 3,000 usd","3,042 usd","oct 19, 2019",angel botello,jeffrey s. evans & associates,"fall antiques, fine & decorative arts auction - day two",oil on board,19 x 17 in.,3000.0,3042.0
1617,"6,000 - 8,000 usd","20,000 usd","oct 17, 2019",angel botello,"hindman, chicago",american and european art,oil on masonite,30 ½ x 19 ½ inches,8000.0,20000.0
1618,"8,000 - 12,000 usd","20,000 usd","oct 17, 2019",angel botello,"hindman, chicago",american and european art,oil on canvas,31 ¾ x 36 ¼ inches,12000.0,20000.0
1619,"70,000 - 100,000 mxn","65,000 mxn*","oct 16, 2019",federico cantu,"morton auctions, monte athos",mexican art,oil on canvas,90 x 70 cm,5000.0,3250.0
1620,"55,000 - 80,000 mxn","52,000 mxn*","oct 16, 2019",guillermo meza,"morton auctions, monte athos",mexican art,oil on cardboard,46 x 39 cm,4000.0,2600.0
1621,"160,000 - 200,000 mxn","150,000 mxn*","oct 16, 2019",carlos orozco romero,"morton auctions, monte athos",mexican art,oil on canvas,60 x 48.5 cm,10000.0,7500.0
1622,"100,000 - 150,000 mxn","90,000 mxn*","oct 16, 2019",carlos orozco romero,"morton auctions, monte athos",mexican art,oil on canvas,31 x 46 cm,7500.0,4500.0
1623,"400,000 - 600,000 mxn","400,000 mxn*","oct 16, 2019",dr. atl,"morton auctions, monte athos",mexican art,atl colors on masonite,30 x 39 cm,30000.0,20000.0
1624,"40,000 - 60,000 usd","56,250 usd","sep 27, 2019",guillermo kuitca,christie's new york,post-war to present,"oil, acrylic and graphite on canvas",55 ½ x 76 in. (141 x 193.4 cm.),60000.0,56250.0
1625,600 - 900 usd,"11,000 usd*","sep 25, 2019",wilson bigaud,fairfield auction,estates auction,oil on board,"11 1/2"" x 15 1/2""",900.0,11000.0
1626,"2,000 - 3,000 chf","1,500 chf*","sep 23, 2019",guillermo kuitca,piguet auction house,manja gideon collection - 21st century furniture,mixed technique and relief,"44,1x62,5 cm",3060.0,1530.0
1627,"4,000 - 6,000 usd","2,000 usd*","sep 22, 2019",eduardo kingman,kaminski auctions,"september continental estates auction, 2019, day 2",oil on canvas,50 1/2 x 40 in,6000.0,2000.0
1628,"70,000 - 100,000 mxn","180,000 mxn*","sep 19, 2019",horacio renteria rocha,"morton auctions, monte athos",traditional mexican antiquities includes the chico goerne santa coloma and hacienda de la concepciaan collections,oil on canvas,80 x 68 cm,5000.0,9000.0
1629,"18,000 usd","20,000 usd*","sep 18, 2019",florencio molina campos,roldan auctions,"classical, modern and contemporary painting and sculpture",tempera,28 x 48.5 cm,18000.0,20000.0
1630,"2,000 - 3,000 usd","3,500 usd*","sep 14, 2019",eduardo kingman,quinn's auction galleries,fine & decorative arts auction,oil on canvas,40 1/2 x 32 1/2 in,3000.0,3500.0
1631,"1,500 - 2,500 usd","4,250 usd*","sep 14, 2019",eduardo kingman,quinn's auction galleries,fine & decorative arts auction,oil on canvas,39 1/4 x 32 1/4 in,2500.0,4250.0
1632,"3,000 - 5,000 usd","4,248 usd","aug 30, 2019 - sep 07, 2019",guillermo meza,aspire auctions,online auction in september 2019,oil on canvas,"23 a"" x 19 ¾""",5000.0,4248.0
1633,"8,000 - 12,000 usd","8,000 usd*","aug 21, 2019",ignacio iturria,castells,modern & contemporary art,oil on canvas,90 x 70 cm,12000.0,8000.0
1634,"300,000 brl","300,000 brl*","aug 19, 2019",tarsila do amaral,james lisboa auction,art auction day one,oil on canvas,30 x 26 cm,57000.0,57000.0
1635,"100,000 brl","100,000 brl*","aug 19, 2019",emiliano di cavalcanti,james lisboa auction,art auction day one,oil on plate,22 x 17 cm,19000.0,19000.0
1636,"390,000 brl","390,000 brl*","aug 19, 2019",emiliano di cavalcanti,james lisboa auction,art auction day one,oil on canvas,46 x 65 cm,74100.0,74100.0
1637,"3,000 - 5,000 usd","1,900 usd*","aug 18, 2019",oswaldo guayasamin,kaminski auctions,"august asian and estates auction, day 2",oil on canvas,16 x 12 in,5000.0,1900.0
