artista,nombre_obra,tecnica,anio,precio,altura,ancho,source
Ricardo Olivares,Nube con Estoperoles,Bronce,2020,29000,38,12,madart
Ricardo Olivares,Mimos,Bronce,2020,92800,110,90,madart
Ricardo Olivares,Troya,Bronce,2020,75400,50,50,madart
Ricardo Olivares,Patines de Madera,Bronce,2020,45300,40,45,madart
Edgar Jahir Trujillo,Paisaje Primigenio,Mixta sobre Tela,2020,56800,140,100,madart
Manuel Miguel,"De la Serie ""Guardian Nocturno""",Mixta sobre Tela,2020,152200,150,250,madart
Alain Bailleres,Viento Venuciano,Mixta sobre Tela,2020,40400,75,160,madart
Leonardo Salinas,Tres Charros de Cuidado,Mixta sobre Tela,2020,62600,100,200,madart
Pacco Soriano,Fuego Merlot,Mixta sobre Tela,2020,55500,110,145,madart
Pacco Soriano,Tinto de tu Piel,Mixta sobre Tela,2020,65600,130,145,madart
Pacco Soriano,Vino y cuerdas flamencas,Mixta sobre Tela,2020,54300,130,120,madart
Federico Rivero,Bici 1,Bronce,2020,34800,30,28,madart
Jennifer Troice,Hipo,Bronce,2019,9000,24,9,madart
Francisco J. Tejeda Jaramillo,Ideogramas,Mixta sobre Madera,2016,47600,122,105,madart
María Sordo,Bichos,Mixta sobre Tela,2015,23600,103,113,madart
Jose Antonio Gurtubay,El Pequeño Torcuato con María,Bronce,2019,394400,182,87,madart
Jazzamoart,Fantasia Taurina,Óleo sobre Tela,2009,16000,90,200,madart
Luis Sn Carlos,"Do not Touch me, Porque si Touch me, mí, Enojar!",Mixta sobre Tela,2020,116000,145,145,madart
Emmanuel Serrano,Mirada Constante,Fumage,2020,33400,120,120,madart
Emmanuel Serrano,Soltura,Fumage,2020,16200,70,100,madart
Emmanuel Serrano,Encuentro Perdido,Fumage,2020,6500,40,70,madart
Oswaldo Ramírez,Regreso a Casa,Mixta sobre Madera,2020,19500,46,38,madart
Oswaldo Ramírez,Tozan,Mixta sobre Madera,2020,19500,38,46,madart
Oswaldo Ramírez,La Nostalgia de un Chef,Mixta sobre Madera,2020,19500,38,46,madart
Oswaldo Ramírez,"Mi Amigo ""Ra""",Mixta sobre Madera,2020,19500,46,38,madart
Mocka,Recuerdos Efímeros,Mixta sobre Tela,2020,83500,120,200,madart
Mocka,Recuerdo de Noviembre,Acrílico sobre Tela,2020,62600,150,120,madart
Manuel Miguel,"De La Serie ""Espejismos Cotidianos"" ",Mixta sobre Tela,2019,11600,50,50,madart
Manuel Miguel,"De La Serie ""Espejismos Cotidianos"" ",Mixta sobre Tela,2019,11600,50,50,madart
Manuel Miguel,"De La Serie ""Espejismos Cotidianos"" ",Mixta sobre Tela,2019,11600,50,50,madart
Giselle Fenig,Llevame Contigo,Mixta sobre Tela,2020,44000,120,120,madart
Emmanuel Serrano,Mirar la Vida dentro y Fuera,Fumage,2020,23200,100,100,madart
Noé Diaz,El Beso,Óleo sobre Tela,2019,40300,100,75,madart
Noé Diaz,Con Nostalgia,Óleo sobre Tela,2019,40300,100,75,madart
Noé Diaz,Las Espléndidas,Óleo sobre Tela,2019,40300,100,85,madart
Noé Diaz,Fantasía de la Guelaguetza,Óleo sobre Tela,2019,40300,75,100,madart
Noé Diaz,Naturaleza,Óleo sobre Tela,2019,40300,100,75,madart
Noé Diaz,Mezcal Mezcal,Óleo sobre Tela,2019,43000,100,100,madart
Noé Diaz,Melancolía Chapulinera,Óleo sobre Tela,2019,40300,100,75,madart
Noé Diaz,Jarabe de Valle,Óleo sobre Tela,2019,40300,85,100,madart
Noé Diaz,Guelaguetza y Amor,Óleo sobre Tela,2019,40300,100,75,madart
Noé Diaz,Mayordomía,Óleo sobre Tela,2019,40300,80,100,madart
Noé Diaz,A la Eternidad,Óleo sobre Tela,2019,40300,75,100,madart
Noé Diaz,Fiesta Oaxaca,Óleo sobre Tela,2019,40300,75,100,madart
Noé Diaz,Nocturnal de Flor de Piña,Óleo sobre Tela,2019,40300,75,100,madart
Noé Diaz,Las Vírgenes,Óleo sobre Tela,2019,40300,100,75,madart
Noé Diaz,Las de Pinotepia,Óleo sobre Tela,2019,40300,100,75,madart
Lydia Hierro,Ilusión Óptica,Encausto sobre Tela,2020,32300,120,120,madart
Lydia Hierro,Espejos de Luz,Encausto sobre Tela,2020,28000,100,100,madart
Lydia Hierro,Encandecente 3,Encausto sobre Tela,2020,25300,100,80,madart
Lydia Hierro,Encandecente 2,Encausto sobre Tela,2020,25300,100,80,madart
Lydia Hierro,Encandecente 1,Encausto sobre Tela,2020,25300,100,80,madart
David Gutiérrez,La Llegada a la Tierra del Aire,Mixta sobre Tela,2019,46400,100,140,madart
Alain Bailleres,Twister Ambar,Resina,2019,14200,26,19,madart
Alain Bailleres,Twister Negro,Resina,2019,14200,26,19,madart
Manuel Miguel,Triada de Sanación,Mixta sobre Tela,2019,43800,180,80,madart
David Gutiérrez,El Gran Globo,Mixta sobre Madera,2020,16200,50,50,madart
David Gutiérrez,Rio Arriba,Óleo sobre Madera,2020,14000,40,40,madart
Carlos Bazán,Sin Título,Mixta sobre Tela,2020,60300,110,165,madart
Max Sanz,Siempre Bella,Óleo sobre Madera,2020,19700,55,75,madart
Ricardo Olivares,Reyes,Bronce,2019,40600,40,20,madart
Tamés,Deshilachados,Hilo sobre Tela,2019,3500,25,20,madart
Didier Mayés,Los Ropavejeros,Mixta sobre Madera,2019,292200,180,180,madart
Didier Mayés,Las Antenas,Mixta sobre Madera,2019,180000,100,200,madart
Eddy Vaskez,Caballito de Palo,Óleo sobre Tela,2019,73000,150,120,madart
Eddy Vaskez,El Payaso,Óleo sobre Tela,2019,73000,120,150,madart
Giselle Fenig,Retomando Caminos,Mixta sobre Tela,2019,41700,120,120,madart
Carlos Vivar,Caballito 2,Bronce,2019,17400,30,12,madart
Carlos Vivar,Caballito 1,Bronce,2019,17400,30,12,madart
Jennifer Troice,Bronce Skull ,Bronce,2019,16300,14,21,madart
Jennifer Troice,Sin Título,Bronce,2019,2200,18,8,madart
Jennifer Troice,Sin Título,Bronce,2018,2200,18,8,madart
Marco Antonio Cruz,Cráneo 2,Óleo sobre Tela,2019,29000,100,100,madart
Marco Antonio Cruz,Cráneo 1,Óleo sobre Tela,2019,29000,100,100,madart
Mocka,Entre Nubes,Mixta sobre Papel,2019,5700,30,54.5,madart
Lydia Hierro,Tres Chicas,Mixta sobre Tela,2019,33700,120,140,madart
Ricardo Olivares,Esperanza,Bronce,2019,63800,62,31,madart
Ricardo Olivares,Dirigible,Bronce,2019,69600,60,42,madart
Yuri Zatarain,Rueda de la Fortuna,Mixta sobre Tela,2019,189000,180,200,madart
Yuri Zatarain,Rueda de la Fortuna,Mixta sobre Tela,2019,189000,180,220,madart
Marco Antonio Cruz,Sin Título,Óleo sobre Tela,2019,43500,100,150,madart
Samuel Rojas,Vórtice de un Código,Óleo sobre Tela,2019,43000,100,100,madart
Samuel Rojas,Las Formas del ser VI,Óleo sobre Tela,2019,98600,100,200,madart
Samuel Rojas,Las Formas del ser I,Óleo sobre Tela,2019,52200,50,200,madart
Mocka,Tigre,Acrílico sobre Papel,2019,5800,38,44,madart
Lydia Hierro,Convergencia (Incluye Marco),Mixta sobre Madera,2019,7800,30,30,madart
Lydia Hierro,Bifurcación ( Incluye Marco),Mixta sobre Madera,2019,10100,45,45,madart
Emmanuel Serrano,Quietud,Fumage,2019,52200,150,150,madart
Primo Vega,Divertimento 1,Mixta sobre Tela,2019,58000,80,100,madart
Leonardo Salinas,Arlequin en Asia,Mixta sobre Tela,2019,10200,65,50,madart
Leonardo Salinas,Arlequin,Mixta sobre Tela,2019,10200,65,50,madart
Pacco Soriano,Corazones Remendados,Mixta sobre Tela,2019,174000,200,250,madart
Carlos Vivar,Chelos,Mixta sobre Tela,2019,8500,30,30,madart
Carlos Vivar,A Cuerpo Limpio,Mixta sobre Tela,2019,8500,30,30,madart
Carlos Vivar,En Ruta,Mixta sobre Tela,2019,8500,30,30,madart
Oswaldo Ramírez,Musa,Mixta sobre Tela,2019,25800,76,48,madart
Oswaldo Ramírez,Xilase,Mixta sobre Tela,2018,58000,103,80,madart
Oswaldo Ramírez,Rebozo Rojo,Mixta sobre Tela,2018,58000,80,103,madart
Oswaldo Ramírez,Mentes Maestras ( Homenaje a Vincent),Mixta sobre Tela,2019,63800,100,90,madart
Oswaldo Ramírez,La Niña,Mixta sobre Tela,2019,56600,100,80,madart
Carlos Vivar,Having Tea,Gráfica,2019,1800,49.4,61.9,madart
Alain Bailleres,Viceversa,Mixta sobre Tela,2019,21600,80,80,madart
Manuel Miguel,Sin Título,Mixta sobre Tela,2019,50700,100,125,madart
Jennifer Troice,Maternidad,Bronce,2019,116000,110,40,madart
Lino Chávez,Acariciando el Amor y al Viento,Bronce,2019,446600,155,110,madart
Leonardo Salinas,Una Tarde de Pesca en Chacahua,Mixta sobre Papel,2019,10200,50,65,madart
Leonardo Salinas,Del Rancho a la Ciudadela,Mixta sobre Papel,2019,10200,50,65,madart
Leonardo Salinas,Lo Que la Guelaguetza Dejó,Mixta sobre Tela,2019,56500,120,150,madart
Emmanuel Serrano,Armadura Natural,Fumage,2019,52200,150,150,madart
Emmanuel Serrano,Levedad,Fumage,2019,52200,150,150,madart
Emmanuel Serrano,Autorretrato 2,Fumage,2019,52200,150,150,madart
Emmanuel Serrano,Hermandad,Fumage,2019,52200,150,150,madart
Francisco J. Tejeda Jaramillo,The Borderer,Óleo sobre Madera,2019,54500,102,102,madart
Carlos Vivar,El Corazón del Tequila,Gráfica,2015,1800,55,45,madart
Carlos Vivar,Ciudad de Banderas,Mixta sobre Tela,2016,217100,130,160,madart
Carlos Vivar,La Cantina Azul,Mixta sobre Tela,2005,188000,120,150,madart
Carlos Vivar,El Sueño de una Pareja,Mixta sobre Tela,2017,241200,140,165,madart
Carlos Vivar,Salto en el Pacífico,Mixta sobre Tela,2015,416500,190,210,madart
Oswaldo Ramírez,Cuando Vayas a Paris,Mixta sobre Tela,2019,34000,80,60,madart
Oswaldo Ramírez,Bajo la Sombra del Árbol,Mixta sobre Tela,2019,56600,80,100,madart
Lino Chávez,Primer Acto,Bronce,2019,29000,18,20,madart
Lino Chávez,Paseando Amores,Bronce,2019,139200,57,58,madart
Lino Chávez,Los Amorosos,Bronce,2019,75400,43,38,madart
Luis Sn Carlos,Transparente,Acrílico sobre Tela,2019,92800,120,120,madart
Didier Mayés,Marquelia,Encausto sobre Madera,2019,292000,180,180,madart
Emmanuel Serrano,Satiro,Fumage,2019,19500,70,120,madart
Emmanuel Serrano,Sutil Movimiento,Fumage,2019,23200,100,100,madart
Ramón Valdés Elizondo,Maceta Rivera,Mixta sobre Madera,2019,48700,90,60,madart
Margot Acosta,Naturaleza Alterada III,Mixta sobre Tela,2015,22500,90,120,madart
Emmanuel Serrano,Los Amorosos,Fumage,2019,8400,60,60,madart
Emmanuel Serrano,Los Amorosos,Fumage,2019,8400,60,60,madart
Emmanuel Serrano,Sin Titulo,Fumage,2019,8300,60,60,madart
Alejandro Baruch,La Noche que Desapareció la Luna,Óleo sobre Tela,2019,112500,200,200,madart
Alejandro Baruch,Una Ventana a los Sueños,Óleo sobre Tela,2019,112500,160,300,madart
Jose Antonio Gurtubay,El Atleta,Madera,2019,116000,122,37,madart
Emmanuel Serrano,Hasta el Hueso,Fumage,2019,23200,100,100,madart
Lucía Hernández Bribiesca,Polen,Óleo sobre Tela,2019,7000,30,30,madart
Lucía Hernández Bribiesca,Emociones en Sintonía,Óleo sobre Tela,2019,7000,30,30,madart
Marco Antonio Cruz,Simbolismo Onírico 2,Óleo sobre Tela,2019,58000,100,200,madart
Jose Antonio Gurtubay,El Encuentro,Mixta sobre Tela,2019,62600,110,140,madart
Julie Sasson,Invierno,Mixta sobre Tela,2019,231900,140,280,madart
Julie Sasson,Despertar del Mar,Mixta sobre Tela,2019,185500,180,200,madart
Julie Sasson,Sueños en el Mar,Encausto sobre tela,2019,185500,110,200,madart
Lydia Hierro,Planos,Mixta sobre Tela,2019,33700,120,140,madart
Margot Acosta,Danza Citadina,Mixta sobre Tela,2017,32500,70,160,madart
Margot Acosta,Inundación en el DF,Mixta sobre Tela,2017,20800,60,100,madart
Mocka,De Guerreros,Mixta sobre tela,2019,27900,100,80,madart
Mocka,Nahual 2,Mixta sobre Tela,2019,27900,100,80,madart
Emmanuel Serrano,Pequeño Amor,Fumage,2019,33400,120,120,madart
Emmanuel Serrano,Cuento,Fumage,2019,33400,120,120,madart
Emmanuel Serrano,Delicadeza,Fumage,2019,33400,120,120,madart
Marco Antonio Cruz,Enamorados,Óleo sobre Tela,2019,43500,150,100,madart
Manuel Miguel,"De la Serie ""Contenedores de Sentimientos""",Bronce,2019,53400,66,22,madart
Emmanuel Serrano,Cuento de Infanta 4 Años,Tinta sobre Madera,2019,33400,120,120,madart
Emmanuel Serrano,Carta al Interior,Tinta sobre Tela,2019,52000,160,140,madart
Emmanuel Serrano,Carta de un Desamor,Tinta sobre Madera,2019,99000,120,360,madart
Emmanuel Serrano,Encuentro de un Amor (Pulpos),Fumage,2019,46400,100,200,madart
Alberto Aragón,Origen del Tiempo,Grabado sobre Papel,2019,25500,110,112,madart
Alberto Aragón,Cazador,Grabado sobre Papel,2019,25500,110,112,madart
Alain Bailleres,Carrusel,Mixta sobre Tela,2019,33600,100,100,madart
Primo Vega,Bustos Clásicos,Óleo sobre Tela,2019,16200,60,50,madart
Primo Vega,Bustos Clásicos,Óleo sobre Tela,2019,16200,60,50,madart
Emmanuel Serrano,Sueño Recurrente 333,Fumage,2019,33400,120,120,madart
Emmanuel Serrano,Recuerdo Robado,Fumage,2019,33400,120,120,madart
Alejandro Baruch,Cotidiana Felicidad,Bronce,2019,206500,175,95,madart
Mocka,A-dorada Calaca,Mixta sobre Papel,2019,14800,76,56,madart
Rich Arnauda,Trayecto al Mictlan,Mixta sobre Tela,2019,17300,90,70,madart
Rich Arnauda,Chiknahuiapan (Nueve Rios) ,Mixta sobre Tela,2019,17300,80,80,madart
Manuel de Cisneros,Enero -4 ,Óleo sobre Madera,2019,16300,40,40,madart
Tamés,Mas Vale Pájaros,Acrílico sobre Papel,2019,4600,32,24,madart
Tamés,Mas Vale Pájaros,Acrílico sobre Papel,2019,7000,30,40,madart
Francisco J. Tejeda Jaramillo,Jugando en el Río,Mixta sobre Tela,2019,52200,81,122,madart
Lucía Valencia,P-51D Mustang,Mixta sobre Tela,2018,34800,74,125,madart
Lucía Valencia,F6F-3 Hellcat,Mixta sobre Tela,2018,34800,125,74,madart
Emmanuel Serrano,Encanto Azul,Fumage,2019,5800,40,40,madart
Emmanuel Serrano,Sutil Movimiento,Fumage,2019,3700,40,40,madart
Felipe de Jesus,Caleidoscopio,Óleo sobre Tela,2019,30200,60,150,madart
Mocka,Libélula,Tinta sobre Papel,2019,7500,38.5,56,madart
Lydia Hierro,Mujeres en Rojo,Mixta sobre Tela,2018,12200,50,50,madart
Lydia Hierro,Muchedumbre,Mixta sobre Tela,2019,12200,50,50,madart
Mocka,De Sabiduría,Mixta sobre Madera,2019,34000,80,122,madart
Mocka,Libre,Mixta sobre Madera,2019,34000,80,122,madart
Mocka,De Amores,Mixta sobre Madera,2019,35500,122,83.5,madart
Manuel Miguel,"De La Serie ""Laberintos de Energía""",Mixta sobre Tela,2019,243600,150,400,madart
Leonardo Salinas,Atardecer Campirano (díptico),Óleo sobre Tela,2019,139200,200,300,madart
Rich Arnauda,El Camino de la serie Serie Itzkuintlán ,Mixta sobre Tela,2018,10400,50,70,madart
Giselle Fenig,La Emperatriz,Mixta sobre Tela,2018,30200,100,100,madart
Emmanuel Serrano,Recelo,Fumage y Acrílico,2018,45400,140,140,madart
Alain Bailleres,Twister,Bronce,2018,33800,26,19,madart
Alain Bailleres,Twister,Bronce,2018,33800,26,19,madart
Luis Sn Carlos,Lago del Cisne,Óleo sobre Tela,2018,139200,130,175,madart
Marco Antonio Cruz,Abstracto 4,Óleo sobre Tela,2018,14300,70,70,madart
Marco Antonio Cruz,Abstracto 3,Mixta sobre Tela,2018,14300,70,70,madart
Marco Antonio Cruz,Abstracto 2,Óleo sobre Tela,2018,14300,70,70,madart
Alejandro Baruch,Noche de Rábanos,Óleo sobre Tela,2018,169300,140,210,madart
Mocka,Golden Octopus,Mixta sobre Papel,2018,14800,76,56,madart
Rich Arnauda,Las Guias que Esperan,Mixta sobre Tela,2018,17300,90,70,madart
Lino Chávez,Virtuosa,Bronce,2018,69600,49,24,madart
Lino Chávez,Respirando tu Aliento,Bronce,2018,81200,57,38,madart
Lino Chávez,Compañeros,Bronce,2018,52200,31,21,madart
Lino Chávez,Mensajero del Agua,Bronce,2018,46400,33,32,madart
Ramón Valdés Elizondo,El Día que se me Escapó un Pecado,Mixta sobre Tela,2018,34600,120,100,madart
Tamés,Despedida,Mixta sobre Tela,2018,38300,135,135,madart
Emmanuel Serrano,Rumbo,Fumage,2018,47000,140,160,madart
Emmanuel Serrano,Encuentro,Fumage,2018,59200,150,170,madart
Alejandro Baruch,Ruch,Bronce,2018,54500,35,23,madart
Alejandro Baruch,Un Gran Soñador,Bronce,2018,66100,90,25,madart
Jennifer Troice,La Familia (sin banca),Bronce,2017,20900,40,30,madart
Emmanuel Serrano,Postura,Fumage,2018,52000,160,140,madart
Emmanuel Serrano,Caminos Distintos,Fumage,2018,45400,140,140,madart
Carlos Vivar,Trazo Arquitectónico,Mixta sobre Tela,2014,176400,130,130,madart
Álvaro,De la Serie Cráneos (Cobre),Esmalte y Acrílico sobre Tela,2017,52200,150,150,madart
Álvaro,"De la Serie Palabras ""Nada""",Tela sobre Bastidor,2018,14800,70,70,madart
Álvaro,"De la Serie Palabras ""Choro""",Acrílico y Esmalte sobre Tela,2017,52600,180,180,madart
Álvaro,"De la Serie Palabras ""Chanfle""",Acrílico y Esmalte sobre Tela,2017,52600,180,180,madart
Federico Rivero,Caracoles,Bronce,2018,23200,25,28,madart
Lydia Hierro,Mi Entorno II,Acrílico sobre Tela,2018,10100,50,50,madart
Lydia Hierro,Mi Entorno I,Acrílico sobre Tela,2018,10100,50,50,madart
Lydia Hierro,Conejo Rojo,Encausto sobre Madera,2018,14800,80,60,madart
Lydia Hierro,Cara en Verdes II,Mixta sobre Tela,2018,10100,50,40,madart
Lydia Hierro,Cara en Verdes I,Mixta sobre Tela,2018,10100,50,40,madart
Lydia Hierro,Hombre de Fiesta,Mixta sobre Tela,2017,14800,45,60,madart
Lydia Hierro,Armonía,Mixta sobre Tela,2017,14800,45,60,madart
Lydia Hierro,Peces 2,Mixta sobre Tela,2017,14800,45,60,madart
Mocka,"Tomás, Mi amigo",Mixta sobre Tela,2018,78300,150,150,madart
Mocka,Chamán,Mixta sobre Papel,2018,29900,113,76,madart
Samuel Rojas,Lunas de Obsidiana,Óleo sobre Tela,2018,35500,100,80,madart
Samuel Rojas,Sol Quemado,Óleo sobre Tela,2018,40400,120,0,madart
Samuel Rojas,Retablo IX,Óleo sobre Tela,2017,127900,160,180,madart
Samuel Rojas,Espejo de Obsidiana,Óleo sobre Tela,2018,31900,60,120,madart
Ignacio Manteca,Canto al Alba,Bronce,2018,87000,58,49,madart
Alain Bailleres,Eterno Femenino... o No,Mixta sobre Tela,2018,21600,80,80,madart
Pedro Coronel,Canto Solar,Serigrafía,1970,9300,95.1,70.3,madart
Jose Antonio Gurtubay,El Eje de Simetría,Mixta sobre Tela,2018,34800,50,40,madart
Jose Antonio Gurtubay,Empapando lo Oscuro,Mixta sobre Tela,2018,34800,50,40,madart
Alain Bailleres,Tierra Viento y Fuego,Mixta sobre Tela,2018,33600,100,100,madart
Marco Antonio Cruz,"De la Serie ""Simbolismo Onírico"" (Tríptico)",Óleo sobre Tela,2018,69600,100,240,madart
Ricardo Olivares,Buena Pesca,Bronce,2018,46400,42,50,madart
Felipe de Jesus,Flor Solar,Mixta sobre Tela,2018,27800,70,120,madart
Ricardo Olivares,Disfrazado de Gallo,Bronce,2018,45300,40,11,madart
Lino Chávez,Lluvia Musical II,,,69600,100,120,madart
Lucía Hernández Bribiesca,Lirios de Oro,Óleo sobre Tela,2018,7000,30,30,madart
Lucía Hernández Bribiesca,Colores de la Lluvia,Óleo sobre Tela,2018,7000,30,30,madart
Sebastián Cánovas,Serie Estudios 1,Mixta sobre Madera,2018,14500,40,40,madart
Sebastián Cánovas,Serie Estudios 2,Mixta sobre Madera,2018,14500,40,40,madart
Lydia Hierro,Gato entre Bolas,Encausto sobre Tela,2018,10100,30,40,madart
Lydia Hierro,Salamandra 2,Acrílico sobre Tela,2018,8200,28,35,madart
Lydia Hierro,Salamandra 1,Acrílico sobre Tela,2018,8200,28,35,madart
Lydia Hierro,Bichos Saltarines,Encausto sobre Tela,2018,10100,50,50,madart
Jose Antonio Gurtubay,Recuerdo a los Amigos,Bronce,2016,41700,33,34,madart
Carlos Amillategui,Nómada,Óleo sobre Tela,2018,52000,200,180,madart
Federico Rivero,Equilibrio,Bronce,2018,23200,40,22,madart
Lino Chávez,Inocencia,Bronce,2018,58000,49,22,madart
Lino Chávez,El Principio del Placer,Bronce,2018,75400,48,38,madart
Primo Vega,Rosas Rojas,Acrílico sobre Tela,2018,20800,70,80,madart
Primo Vega,Tronco Florido,Acrílico sobre Tela,2018,12000,60,50,madart
Primo Vega,Vaso Blanco,Acrílico sobre Tela,2018,14000,60,50,madart
Carlos Vivar,Arlequín de Periódico,Mixta sobre Tela,2018,217200,160,130,madart
Pacco Soriano,Percepciones (payaso),Tinta sobre Papel,2018,13400,50,70,madart
Jose Antonio Gurtubay,El Partidazo,Mixta sobre Bronce,2018,34800,25,0,madart
Pacco Soriano,Percepciones (Circo),Tinta sobre Papel,2018,13400,50,70,madart
Pacco Soriano,Percepciones (Elefante con pelota),Tinta sobre Papel,2018,13400,50,70,madart
Pacco Soriano,Percepciones (Caballo / Perro),Tinta sobre Papel,2018,13400,50,70,madart
Pacco Soriano,Percepciones (Jirafa/Elefante),Tinta sobre Papel,2018,13400,50,70,madart
Jazzamoart,La Vida es un Jamón,Óleo sobre Tela,2018,13000,80,180,madart
Ignacio Manteca,Acecho,Bronce,2018,81200,200,80,madart
Primo Vega,Popo Vista Aérea,Óleo sobre Tela,2018,46400,70,80,madart
Primo Vega,Popo y Magotes,Óleo sobre Tela,2018,46400,70,80,madart
Jennifer Troice,Abrazo,Bronce,2018,2400,18,6,madart
Carlos Vivar,La Silla Roja,Colografía,2018,17400,54,74,madart
Carlos Vivar,Terna,Grabado ,2018,11600,27,35,madart
Carlos Vivar,Terna (Rosa),Grabado ,2018,11600,27,35,madart
Emmanuel Serrano,Astucia (Cabeza de Zorro),Fumage,2018,46400,120,160,madart
Emmanuel Serrano,Cortejo (Dos Cabezas de Liebre),Fumage,2018,63800,150,200,madart
Rosendo Vega,Serie Migrantes detalle 5,Óleo sobre Tela,2018,52200,150,120,madart
Manuel Miguel,Cráneo Hichol,Mixta sobre Tela,2018,73000,120,150,madart
Alain Bailleres,Yectli Quechol (Ave Roja),Mixta sobre Tela,2018,22000,80,80,madart
Ricardo Olivares,En la Ventana,Bronce,2018,38300,45,32,madart
Ricardo Olivares,Paseo en Bici sin Ruedas,Bronce,2018,40600,42,42,madart
Ricardo Olivares,Mimo en su Esquina,Bronce,2018,58000,70,52,madart
Emmanuel Serrano,Avestruz,Fumage,2018,40800,160,120,madart
Emmanuel Serrano,Liebre,Fumage,2018,40800,160,120,madart
Luis Sn Carlos,Tisú,Acrílico sobre Tela,2018,95700,130,130,madart
Oswaldo Ramírez,La Mujer y el Fauve,Mixta sobre Tela,2018,92800,143,122,madart
Primo Vega,Hoja de Palma,Óleo sobre Tela,2018,23200,60,50,madart
Lydia Hierro,Cuadro Rojo,Encausto sobre Tela,2018,33700,100,140,madart
Primo Vega,Serie de Flores,Óleo sobre Tela,2018,20800,50,60,madart
Primo Vega,Serie de Flores,Óleo sobre Tela,2018,20800,60,50,madart
Primo Vega,Serie de Flores,Óleo sobre Tela,2018,20800,60,50,madart
Marco Antonio Cruz,Sin Título,Óleo sobre Tela,2018,58000,100,200,madart
Marco Antonio Cruz,Sin Título,Óleo sobre Tela,2018,58000,100,200,madart
Carlos Vivar,The Race,Mixta sobre Tela,2014,104400,100,100,madart
Luis Sn Carlos,Jazmín,Acrílico sobre Tela,2018,95700,130,130,madart
Lydia Hierro,Intención,Encausto sobre Tela (Incluye Marco),2018,9400,35,28,madart
Lydia Hierro,La Vaca,Encausto sobre Tela,2018,5200,20,30,madart
Lydia Hierro,Papalote,Encausto sobre Tela,2018,9400,60,40,madart
Lydia Hierro,Mi Sombra,Encausto sobre Madera,2018,8400,30,40,madart
Lydia Hierro,Caso Rojo,Encausto sobre Tela,2018,8400,40,30,madart
Lydia Hierro,Cara en Grises,Mixta sobre Tela,2018,8200,35,28,madart
Lydia Hierro,El Pequeño Gallo,Encausto sobre Tela,2018,4600,25,20,madart
Marco Antonio Cruz,Sueño Onírico,Óleo sobre Tela,2018,130500,150,300,madart
Margot Acosta,Del Tal Palo Tal Astilla,Mixta sobre Tela,2015,19700,80,110,madart
Margot Acosta,Seis Grados de Separación,Mixta sobre Tela,2015,20800,100,100,madart
Emmanuel Serrano,Dualidad,Fumage,2018,61200,180,240,madart
Carlos Amillategui,Lo mas feliz del mundo,Mixta sobre Tela,2017,54300,130,180,madart
Pacco Soriano,Tres Mosqueteros,Óleo sobre Tela,2018,26100,50,150,madart
Pacco Soriano,Toro y Caballo,Óleo sobre Tela,2018,37600,90,120,madart
Manuel Miguel,Caballito,Mixta sobre Tela,2018,52800,100,130,madart
Jorge Barrios,Los Sueños de la Luna,Mixta sobre Tela,2018,27800,80,80,madart
Oswaldo Ramírez,Amistad en la Calle,Mixta sobre Tela,2018,118600,180,140,madart
Carlos Vivar,Paris,Litografía,2017,23200,65,48,madart
Carlos Vivar,Torero,Litografía,2017,18500,65,48,madart
Ricardo Olivares,Rey en su Corcel de Boca Curiosa,Bronce,2018,48700,36,29,madart
Ricardo Olivares,Petulante,Bronce,2018,53300,47,17,madart
Primo Vega,Serie Florida (rojo/blanco),Mixta sobre Tela,2018,10400,60,50,madart
Primo Vega,Serie Florida,Mixta sobre Tela,2018,9300,60,45,madart
Primo Vega,Rostro en Rojos,Acrílico sobre Tela,2018,9300,40,30,madart
Jennifer Troice,Abrazo,Bronce,2017,2400,18,7,madart
Jennifer Troice,El Abrazo,Bronce,2016,2400,18,6,madart
Primo Vega,Popocatepetl desde el Oriente,Óleo sobre Tela,2018,132300,100,200,madart
Francisco J. Tejeda Jaramillo,I Love You,Óleo sobre Madera,2018,48700,107,107,madart
Ricardo Olivares,El Rey,Bronce,2018,45200,51,22,madart
Ricardo Olivares,Cola de Diamante,Bronce,2018,51000,44,22,madart
Ricardo Olivares,Rey de Zapato Roto,Bronce,2018,48700,44,26,madart
Lydia Hierro,Circulando por la Ciudad,Mixta sobre Papel,2018,15500,42,53,madart
Federico Rivero,En la Espera,Bronce,2016,20400,46,18,madart
Federico Rivero,Renaciendo,Bronce,2016,30200,52,21,madart
Federico Rivero,Danza,Bronce,2016,15300,39,17,madart
Federico Rivero,Conversando con la Luna,Bronce,2016,20400,41,17,madart
Federico Rivero,Gato,Bronce,2017,3800,19,8,madart
Federico Rivero,Soplo Lunar,Bronce,2017,32500,55,30,madart
Federico Rivero,Toro,Bronce,2017,22000,34,34,madart
Federico Rivero,Calvos,Bronce,2017,25500,52,18,madart
Federico Rivero,Yo No Fui,Bronce,2017,23200,48,16,madart
Federico Rivero,Después de la Tormenta,Bronce,2017,27800,43,19,madart
Federico Rivero,Gestación,Bronce,2017,27800,31,23,madart
Primo Vega,La Novia,Acrílico sobre Tela,2018,81200,100,80,madart
Primo Vega,Mujer en Verde y Dorados,Acrílico sobre Tela,2018,81200,100,70,madart
Federico Rivero,Patinando,Bronce,2018,27800,28,22,madart
