pais,categoria,tematica,tecnica,soporte,medidas,fecha,etiquetas,precio,obra,autor,link
Argentina,Pintura,Paisaje,Acrilico,Lienzo,190 x 144 cm,Artelista desde: 20 de Mayo de 2018,"#arquitectura, #industrial, #abstracto, # arte contemporaneo, #Rte latinoamericano, #arte argentino",100.155 MX$,Enjambre urbano,Gisela Gaffoglio,https://www.artelista.com/obra/8531866429186041-enjambre-urbano.html
Espana,Pintura,Paisaje,Otros,Tabla,120 x 48 cm,Artelista desde: 2 de Octubre de 2018,"nyc, New York; Central Park, Bethesda, terrace, Archade, esmaltes",Obra vendida,New York #60,Socrates Rizquez,https://www.artelista.com/obra/2560851048281056-new-york-60.html
Argentina,Pintura,Lienzo,Acrilico,Otros,190 x 190 cm,Artelista desde: 22 de Mayo de 2018,"# industrial, # arquitectura, # puerto, #arte Latinoamericano, # arte ARGENTINO, # arte contemporaneo",Obra vendida,Moving realities ,Gisela Gaffoglio,https://www.artelista.com/obra/7418279194371780-moving-realities.html
Italia,Pintura,Tela,Acrilico,Paisaje,80 x 80 cm,Artelista desde: 21 de Agosto de 2018,"surrealismo, fantastico, paesaggio, originale, contemporaneo, pittura",100.014 MX$,Forio 2018,Giuseppe Sticchinain,https://www.artelista.com/obra/8495836779460205-forio-2018.html
Argentina,Pintura,Paisaje,Acrilico,Lienzo,200 x 150 cm,Artelista desde: 5 de Octubre de 2018,"#puerto, #urbano, #industrial, #arte Latinoamericano, #marina, #arte argentino",Obra vendida,El arte de vivir con fe,Gisela Gaffoglio,https://www.artelista.com/obra/7243116712705168-el-arte-de-vivir-con-fe.html
Colombia,Pintura,Figura,Oleo,Lienzo,18 x 18 cm,Artelista desde: 23 de Octubre de 2018,"realismo, rayismo, impresionista, figurativo, del, Caribe",83.617 MX$,FACE 0046,LUIS EMILIO RENTERIA LERMA,https://www.artelista.com/obra/2802566371128591-face-0046.html
Espana,Pintura,Bodegones,Otros,Otros,120 x 80 cm,Artelista desde: 2 de Octubre de 2018,"esmaltes, enamels, botellas, bottles, new york, nyc",86.013 MX$,New York #59,Socrates Rizquez,https://www.artelista.com/obra/4171986377457121-new-york-59.html
Mexico,Pintura,Tabla,Acrilico,Floral,60 x 80 cm,Artelista desde: 11 de Septiembre de 2018,"paisaje, flores",100.477 MX$,Las Orquideas,Alberto   Thirion Garcia,https://www.artelista.com/obra/5018976559185055-las-orquideas.html
Argentina,Pintura,Otros,Acrilico,Lienzo,163 x 190 cm,Artelista desde: 4 de Octubre de 2018,"#marina, #industrial, #rojo, #arte Latinoamericano, #arquitectura, #arte argentino",88.273 MX$,Te lo digo asi,Gisela Gaffoglio,https://www.artelista.com/obra/2365543689463719-te-lo-digo-asi.html
Espana,Pintura,Lienzo,Oleo,Figura,75 x 100 cm,Artelista desde: 4 de Septiembre de 2018,"mediterraneo, figura, acuatico, mar, turquesa",140.020 MX$,Reve,Josep Moncada Juaneda,https://www.artelista.com/obra/2560833270811552-reve.html
Mexico,Pintura,Figura,Oleo,Lienzo,90 x 60 cm,Artelista desde: 31 de Agosto de 2018,"bunnies, bunny, apple, landscape, surreal, quantum",100.014 MX$,bunnies on burrow,Mauricio Silerio,https://www.artelista.com/obra/5694185658857538-bunnies-on-burrow.html
Ucrania,Pintura,Lienzo,Oleo,Paisaje,240 x 80 cm,Artelista desde: 2 de Enero de 2018,"apricot, river, lake, water, tree, blossom",112.016 MX$,Apricot tree over the water. Screen in 4 parts.,Valeriy Grachov,https://www.artelista.com/obra/2145442592549534-apricot-tree-over-the-water-screen-in-4-parts.html
Espana,Pintura,Otros,Lienzo,Oleo,130 x 130 cm,Artelista desde: 25 de Febrero de 2018,"lienzo, oleo, Antonio Capel, hiperrealismo, floyd, pink",120.017 MX$,"Antonio Capel ""Pink Floyd""",Antonio Capel,https://www.artelista.com/obra/4751637415000521-antonio-capel-pink-floyd.html
Espana,Pintura,Otros,Otros,Tabla,120 x 80 cm,Artelista desde: 5 de Abril de 2018,"policia, police, nyc, new york, coches, cars",92.013 MX$,New York #56,Socrates Rizquez,https://www.artelista.com/obra/8067923469435819-new-york-56.html
Espana,Pintura,Otros,Otros,Tabla,120 x 80 cm,Artelista desde: 5 de Abril de 2018,"new york, nyc, police, motorbike, light, patrol",92.013 MX$,New York #55,Socrates Rizquez,https://www.artelista.com/obra/1122891895625578-new-york-55.html
Espana,Pintura,Lienzo,Oleo,Deportes,200 x 250 cm,Artelista desde: 27 de Febrero de 2018,"hiperrealismo, obra maestra, Antonio Capel, golf",280.040 MX$,"Antonio Capel ""Golf""",Antonio Capel,https://www.artelista.com/obra/8092473399554808-antonio-capel-golf.html
Costa Rica,Pintura,Lienzo,Acrilico,Otros,91 x 122 cm,Artelista desde: 21 de Febrero de 2018,"surrealismo, paisaje, abstracto",Obra vendida,Ciudad de Angeles,armando fallas varela,https://www.artelista.com/obra/3914566470228683-ciudad-de-angeles.html
Argentina,Pintura,Tela,Acrilico,Paisaje,192 x 150 cm,Artelista desde: 24 de Diciembre de 2017,"#urbano, #arte Latinoamericano, #arte argentino, #arte CONTEMPORANEO, #arquitectura, #ciudades",Obra vendida,Imperfecta,Gisela Gaffoglio,https://www.artelista.com/obra/6275736476947210-imperfecta.html
Espana,Pintura,Retrato,Otros,Tabla,105 x 120 cm,Artelista desde: 12 de Diciembre de 2017,"portrait, autorretrato, retrato, Rizquez, socrates, socrates",86.013 MX$,Autorretrato #1,Socrates Rizquez,https://www.artelista.com/obra/5558121637340424-autorretrato-1.html
