,precio estimado,precio_venta,fecha,autor,casa subasta,tipo,tecnica,dimensiones
595,"
250,000 - 350,000 USD ","
300,000 USD
","
May 16, 2018
", Joaquín Torres García,Phillips New York,20th Century and Contemporary Art Day Sale Morning Session,"
                                            oil on wood
                                        ","
                                                17 3/8 x 12 1/8 in. (44.1 x 30.8 cm.)
                                            "
596,"
50,000 - 70,000 USD ","
62,500 USD
","
May 16, 2018
", Fernando de Szyszlo,Phillips New York,20th Century and Contemporary Art Day Sale Morning Session,"
                                            acrylic on canvas
                                        ","
                                                47 1/4 x 47 1/4 in. (120 x 120 cm.)
                                            "
597,"
600,000 - 800,000 USD ","
1,035,000 USD
","
May 16, 2018
", Jesus-Rafael Soto,Sotheby's New York,Contemporary Art Evening Auction,"
                                            painted wood with wire elements
                                        ","
                                                39 3/8 by 39 3/8 in. 100 by 100 cm
                                            "
598,"
60,000 - 80,000 USD ","
81,250 USD
","
May 15, 2018
", Diego Rivera,Sotheby's New York,Impressionist & Modern Art Day Sale,"
                                            Oil on canvas mounted on masonite
                                        ","
                                                11 by 15 3/4 in.28 by 40 cm
                                            "
599,"
25,000 - 35,000 USD ","
62,500 USD
","
May 15, 2018
", Angel Zárraga,Sotheby's New York,Impressionist & Modern Art Day Sale,"
                                            Oil on canvas
                                        ","
                                                14 1/8 by 12 3/8 in.
36 by 31.5 cm
                                            "
600,"
60,000 - 80,000 USD ","
62,500 USD
","
May 15, 2018
", Alfredo Ramos Martínez,Bonhams New York,Impressionist & Modern Art,"
                                            oil on board
                                        ","
                                                23 7/8 x 27 3/8 in (60.6 x 69.5 cm)
                                            "
601,"
80,000 - 120,000 USD ","
87,500 USD
","
May 15, 2018
", Joaquín Torres García,Sotheby's New York,Impressionist & Modern Art Day Sale,"
                                            Oil on canvas
                                        ","
                                                28 5/8 by 43 3/4 in.
72.6 by 111.1 cm
                                            "
602,"
40,000 - 60,000 USD ","
68,750 USD
","
May 15, 2018
", Joaquín Torres García,Sotheby's New York,Impressionist & Modern Art Day Sale,"
                                            Oil on canvas
                                        ","
                                                14 1/2 by 18 1/8 in.
36.8 by 26 cm
                                            "
603,"
300,000 - 500,000 USD ","
507,000 USD
","
May 15, 2018
", Joaquín Torres García,Sotheby's New York,Impressionist & Modern Art Day Sale,"
                                            Oil on cardboard
                                        ","
                                                17 3/4 by 13 3/4 in.45 by 35 cm
                                            "
604,"
40,000 - 60,000 USD ","
50,000 USD
","
May 15, 2018
", Joaquín Torres García,Sotheby's New York,Impressionist & Modern Art Day Sale,"
                                            Oil on wood
                                        ","
                                                Figure A: 6 1/8 by 2 3/4 by 1 in., Figure B: 8...
                                            "
605,"
125,000 - 175,000 USD ","
137,500 USD
","
May 15, 2018
", David Alfaro Siqueiros,Sotheby's New York,Impressionist & Modern Art Day Sale,"
                                            Acrylic on panel
                                        ","
                                                48 by 35 3/8 in.
122 by 90 cm
                                            "
606,"
25,000 - 35,000 USD ","
68,750 USD
","
May 15, 2018
", Angel Zárraga,Sotheby's New York,Impressionist & Modern Art Day Sale,"
                                            Oil on canvas
                                        ","
                                                13 3/4 by 11 3/8 in.
34.9 by 28.9 cm
                                            "
607,"
100,000 - 150,000 USD ","
162,500 USD
","
May 15, 2018
", Joaquín Torres García,Sotheby's New York,Impressionist & Modern Art Day Sale,"
                                            Oil on canvas
                                        ","
                                                16 1/8 by 13 in.
41 by 33 cm
                                            "
608,"
125,000 - 175,000 USD ","
137,500 USD
","
May 15, 2018
", Armando Reverón,Sotheby's New York,Impressionist & Modern Art Day Sale,"
                                            Oil on burlap
                                        ","
                                                25 1/4 by 27 3/4 in.
64.1 by 70.5 cm
                                            "
609,"
5,000,000 - 7,000,000 USD ","
5,873,000 USD
","
May 14, 2018
", Rufino Tamayo,Sotheby's New York,Impressionist & Modern Art Evening Sale,"
                                            Oil on canvas
                                        ","
                                                44 1/4 by 33 3/4 in.
112.4 by 85.7 cm
                                            "
610,"
800,000 - 1,000,000 USD ","
951,000 USD
","
May 14, 2018
", Joaquín Torres García,Sotheby's New York,Impressionist & Modern Art Evening Sale,"
                                            Oil on wood
                                        ","
                                                27 7/8 by 14 3/8 in.
70.8 by 36.5 cm
                                            "
611,"
5,000,000 - 7,000,000 USD ","
9,762,500 USD
","
May 09, 2018
", Diego Rivera,Christie's New York,"The Collection of Peggy and David Rockefeller: Art of the Americas, Evening Sale","
                                            oil on canvas
                                        ","
                                                60 x 50 in
                                            "
612,"
2,000 - 3,000 EUR ","
2,500 EUR
","
Apr 19, 2018
", René Portocarrero,Minerva Auctions (Finarte Rome),Modern and Contemporary Art,"
                                            mixed media on cardboard
                                        ","
                                                60,4 x 44,2 cm
                                            "
613,"
40,000 USD ","
48,000 USD*
","
Apr 11, 2018
", Benito Quinquela Martin,Roldan Auctions,"Paintings and Classical Sculpture, Modern & Contemporary","
                                            Oil on hardboard
                                        ","
                                                90 x 100 cm
                                            "
614,"
20,000 - 30,000 EUR ","
27,300 EUR*
","
Apr 10, 2018
", Antonio Seguí,Cornette de Saint Cyr Paris,Contemporary Art - Contemporary African Art,"
                                            Marker and coloured ink Acrylic on canvas
                                        ","
                                                145,5 x 114 cm
                                            "
615,"
6,000 - 9,000 USD ","
3,750 USD*
","
Apr 08, 2018
", Rufino Tamayo,Kaminski Auctions,"April Estates Auction, Day 2","
                                            Oil on canvas
                                        ","
                                                19 x 23 in.
                                            "
616,"
3,000 - 4,000 EUR ","
5,980 EUR
","
Mar 25, 2018
", Antonio Seguí,Digard,Abstract & Contemporary Art,"
                                            Acrylic and mixed technique on paper mounted on cardboard
                                        ","
                                                54 x 70 cm
                                            "
617,"
300 - 500 USD ","
550 USD
","
Mar 25, 2018
", André Pierre,Clarke Auction,Fine Art,"
                                            Oil on board
                                        ","
                                                20 x 15.5 in.
                                            "
618,"
150,000 - 250,000 GBP ","
187,500 GBP
","
Feb 28, 2018
", Joaquín Torres García,Christie's London,Impressionist and Modern Art Day Sale,"
                                            oil on cardboard
                                        ","
                                                12 7/8 x 8 1/8 in. (32.5 x 20.5 cm.)
                                            "
619,"
150,000 - 250,000 GBP ","
187,500 GBP
","
Feb 28, 2018
", Joaquín Torres García,Christie's London,Impressionist and Modern Art Day Sale,"
                                            oil and sand on canvas
                                        ","
                                                30 1/4 x 56 3/8 in. (77 x 143 cm.)
                                            "
620,"
500 - 700 USD ","
1,300 USD*
","
Jan 20, 2018
", David Alfaro Siqueiros,Hutter Auction Galleries,Estates Auction,"
                                            Oil on board
                                        ","
                                                15.5"" X 11.5"" (19"" X 15"")
                                            "
621,"
700 - 1,000 USD ","
350 USD*
","
Dec 14, 2017 - Dec 16, 2017
", Cesar Villacres,Alex Cooper Auctioneers,Gallery Sale,"
                                            Oil on canvas
                                        ","
                                                16 x 20 in.
                                            "
622,"
700 - 1,000 USD ","
425 USD*
","
Dec 14, 2017 - Dec 16, 2017
", Cesar Villacres,Alex Cooper Auctioneers,Gallery Sale,"
                                            Oil on canvas
                                        ","
                                                20 x 24 in.
                                            "
623,"
6,000 - 7,000 USD ","
5,000 USD*
","
Dec 13, 2017
", Jose Antonio Velasquez,Ro Gallery,The Great Holiday Art Gifts Sale,"
                                            Oil on Masonite
                                        ","
                                                10 x 11.5 in. (25.4 x 29.21 cm)
                                            "
624,"
3,000 - 5,000 EUR ","
6,500 EUR
","
Dec 04, 2017
", Antonio Seguí,Christie's Paris,Heritage Saint-Germain-des-Prés - Charity Sale,"
                                            oil and acrylic on newspaper laid down on canvas
                                        ","
                                                37.8 x 45.8 cm. (14 7/8 x 18 in.)
                                            "
625,"
2,750 EUR ","
3,000 EUR*
","
Nov 23, 2017
", René Portocarrero,Duran Art & Auctions,Art Auction,"
                                            Mixed technique on canvas
                                        ","
                                                72 x 53 cm
                                            "
626,"
200,000 - 300,000 USD ","
250,000 USD
","
Nov 21, 2017 - Nov 22, 2017
", David Alfaro Siqueiros,Christie's New York,Latin American Art,"
                                            pyroxilin on masonite
                                        ","
                                                33 ½ x 24 in. (85 x 61 cm.)
                                            "
627,"
150,000 - 200,000 USD ","
175,000 USD
","
Nov 21, 2017 - Nov 22, 2017
", Diego Rivera,Christie's New York,Latin American Art,"
                                            oil on canvas
                                        ","
                                                12 5/8 x 9 ½ in. (32.1 x 24.1 cm.)
                                            "
628,"
15,000 - 20,000 USD ","
15,000 USD
","
Nov 21, 2017 - Nov 22, 2017
", Emilio Sanchez,Christie's New York,Latin American Art,"
                                            oil on Masonite
                                        ","
                                                35 ¼ x 47 ¾ in. (89.5 x 121.3 cm.)
                                            "
629,"
25,000 - 35,000 USD ","
27,500 USD
","
Nov 21, 2017 - Nov 22, 2017
", Emilio Sanchez,Christie's New York,Latin American Art,"
                                            oil on canvas
                                        ","
                                                48 x 48 in. (122 x 122 cm.)
                                            "
630,"
15,000 - 20,000 USD ","
23,750 USD
","
Nov 21, 2017 - Nov 22, 2017
", Francisco Toledo,Christie's New York,Latin American Art,"
                                            oil and sand on paper laid on canvas
                                        ","
                                                19 x 25 7/8 in. (48.3 x 65.6 cm.)
                                            "
631,"
250,000 - 350,000 USD ","
372,500 USD
","
Nov 21, 2017 - Nov 22, 2017
", Mariano Rodriguez,Christie's New York,Latin American Art,"
                                            oil on canvas
                                        ","
                                                27 ¼ x 25 1/8 in. (68.5 x 63.5 cm.)
                                            "
632,"
40,000 - 60,000 USD ","
125,000 USD
","
Nov 21, 2017 - Nov 22, 2017
", Fernando de Szyszlo,Christie's New York,Latin American Art,"
                                            acrylic on canvas
                                        ","
                                                38 1/8 x 58 in. (96.8 x 147.3 cm.)
                                            "
633,"
250,000 - 350,000 USD ","
312,500 USD
","
Nov 21, 2017 - Nov 22, 2017
", Francisco Toledo,Christie's New York,Latin American Art,"
                                            oil and sand on canvas
                                        ","
                                                37 ½ x 49 3/8 in. (95.2 x 125.4 cm.)
                                            "
634,"
100,000 - 150,000 USD ","
100,000 USD
","
Nov 21, 2017 - Nov 22, 2017
", Tomás Sánchez,Christie's New York,Latin American Art,"
                                            acrylic on canvas
                                        ","
                                                19 7/8 x 23 7/8 in. (50.4 x 60.5 cm.)
                                            "
635,"
40,000 - 60,000 USD ","
40,000 USD
","
Nov 21, 2017 - Nov 22, 2017
", Joaquín Torres García,Christie's New York,Latin American Art,"
                                            oil on canvas
                                        ","
                                                15 ¼ x 14 ½ in. (38.7 x 36.8 cm)
                                            "
636,"
600,000 - 800,000 USD ","
708,500 USD
","
Nov 21, 2017 - Nov 22, 2017
", Rufino Tamayo,Christie's New York,Latin American Art,"
                                            oil and sand on canvas
                                        ","
                                                32.¼ x 39.½ in. (81.9 x 100.3 cm.)
                                            "
637,"
700,000 - 900,000 USD ","
756,500 USD
","
Nov 21, 2017 - Nov 22, 2017
", Joaquín Torres García,Christie's New York,Latin American Art,"
                                            oil on canvas
                                        ","
                                                21 ¾ x 18 ¼ in. (55.2 x 46.4 cm)
                                            "
638,"
25,000 - 35,000 USD ","
25,000 USD
","
Nov 21, 2017 - Nov 22, 2017
", Benito Quinquela Martin,Christie's New York,Latin American Art,"
                                            oil on board
                                        ","
                                                19 5/8 x 27 ½ in. (50 x 70 cm.)
                                            "
639,"
35,000 - 45,000 USD ","
40,000 USD
","
Nov 21, 2017 - Nov 22, 2017
", Antonio Seguí,Christie's New York,Latin American Art,"
                                            acrylic on canvas
                                        ","
                                                38 ½ x 51 1/8 in. (97.8 x 129.9 cm.)
                                            "
640,"
60,000 - 80,000 USD ","
93,750 USD
","
Nov 21, 2017 - Nov 22, 2017
", Tomás Sánchez,Christie's New York,Latin American Art,"
                                            acrylic on canvas
                                        ","
                                                17 ¾ x 23 5/8 in. (45 x 60 cm.)
                                            "
641,"
60,000 - 80,000 USD ","
143,750 USD
","
Nov 21, 2017 - Nov 22, 2017
", Tomás Sánchez,Christie's New York,Latin American Art,"
                                            acrylic on canvas
                                        ","
                                                23 5/8 x 17 ¾ in. (60 x 45 cm.)
                                            "
642,"
800,000 - 1,200,000 USD ","
852,500 USD
","
Nov 21, 2017 - Nov 22, 2017
", Alfredo Ramos Martínez,Christie's New York,Latin American Art,"
                                            oil on canvas
                                        ","
                                                32 ¼ × 28 ¼ inches (81.9 × 71.8 cm.)
                                            "
643,"
250,000 - 350,000 USD ","
250,000 USD
","
Nov 21, 2017 - Nov 22, 2017
", Juan Soriano,Christie's New York,Latin American Art,"
                                            oil on canvas
                                        ","
                                                52 x 81 ½ in. (132.1 x 207 cm.)
                                            "
644,"
400,000 - 600,000 USD ","
516,500 USD
","
Nov 21, 2017 - Nov 22, 2017
", Rufino Tamayo,Christie's New York,Latin American Art,"
                                            oil on canvas
                                        ","
                                                37 ½ x 51 ½ in. (95.3 x 130.8 cm.)
                                            "
645,"
80,000 - 120,000 USD ","
100,000 USD
","
Nov 21, 2017 - Nov 22, 2017
", Joaquín Torres García,Christie's New York,Latin American Art,"
                                            oil on canvas
                                        ","
                                                20 ½ x 14 7/8 in. (52 x 38 cm.)
                                            "
646,"
70,000 - 100,000 USD ","
93,750 USD
","
Nov 21, 2017 - Nov 22, 2017
", Joaquín Torres García,Christie's New York,Latin American Art,"
                                            oil on board
                                        ","
                                                18 ¼ x 19 1/8 in. (46.4 x 48.6 cm.)
                                            "
647,"
90,000 - 120,000 USD ","
118,750 USD
","
Nov 21, 2017
", Joaquín Torres García,Phillips New York,Latin America,"
                                            oil on board
                                        ","
                                                14 1/8 x 20 1/2 in. (35.9 x 52.1 cm)
                                            "
648,"
60,000 - 80,000 USD ","
62,500 USD
","
Nov 21, 2017
", Joaquín Torres García,Phillips New York,Latin America,"
                                            oil on canvas
                                        ","
                                                14 1/4 x 20 5/8 in. (36.2 x 52.4 cm)
                                            "
649,"
800 - 1,200 USD ","
1,400 USD
","
Nov 21, 2017
", Alfredo Ramos Martínez,William H. Bunch Auctions,November Premier Auction,"
                                            Serigraph, silkscreen on paper on masonite
                                        ","
                                                38 x 32 in.
                                            "
650,"
1,200,000 - 1,600,000 USD ","
1,935,000 USD
","
Nov 21, 2017
", Rufino Tamayo,Sotheby's New York,Latin America: Modern Art,"
                                            oil on canvas
                                        ","
                                                37 5/8 by 51 1/8 in.
96 by 130 cm
                                            "
651,"
200,000 - 300,000 USD ","
225,000 USD
","
Nov 21, 2017
", Tomás Sánchez,Sotheby's New York,Latin America: Modern Art,"
                                            acrylic on canvas
                                        ","
                                                30 by 40 in.
76 by 102 cm
                                            "
652,"
200,000 - 250,000 USD ","
318,750 USD
","
Nov 21, 2017
", Armando Reverón,Sotheby's New York,Latin America: Modern Art,"
                                            oil and tempera on burlap
                                        ","
                                                27 3/4 by 35 1/2 in.
71 by 90 cm
                                            "
653,"
12,000 - 18,000 USD ","
25,000 USD
","
Nov 21, 2017
", Mariano Rodriguez,Sotheby's New York,Latin America: Modern Art,"
                                            oil on canvas
                                        ","
                                                36 by 47 1/4 in.
92 by 120 cm
                                            "
654,"
120,000 - 170,000 USD ","
125,000 USD
","
Nov 21, 2017
", Angel Zárraga,Sotheby's New York,Latin America: Modern Art,"
                                            oil on canvas
                                        ","
                                                36 by 29 in.
91 by 74 cm
                                            "
655,"
250,000 - 350,000 USD ","
287,500 USD
","
Nov 21, 2017
", Joaquín Torres García,Sotheby's New York,Latin America: Modern Art,"
                                            oil on cardboard laid down on fiber board
                                        ","
                                                19 1/2 by 27 in.50 by 69 cm
                                            "
656,"
50,000 - 70,000 USD ","
150,000 USD
","
Nov 21, 2017
", Rufino Tamayo,Sotheby's New York,Latin America: Modern Art,"
                                            oil and sand on canvas
                                        ","
                                                9 1/2 by 16 1/4 in.
24 by 41 cm
                                            "
657,"
25,000 - 35,000 USD ","
32,500 USD
","
Nov 21, 2017
", Francisco Toledo,Sotheby's New York,Latin America: Modern Art,"
                                            oil and sand on canvas
                                        ","
                                                28 3/4 by 36 1/4 in.
73 by 92 cm
                                            "
658,"
3,000 - 4,000 EUR ","
5,200 EUR
","
Nov 20, 2017
", Antonio Seguí,Millon & Associes,Post War & Contemporary Art & Masters of Abstraction,"
                                            Oil on newspaper mounted on canvas
                                        ","
                                                38 x 46 cm
                                            "
659,"
35,000 - 45,000 USD ","
58,750 USD
","
Nov 17, 2017
", Fernando de Szyszlo,Sotheby's New York,Contemporary Art Day Auction,"
                                            acrylic on canvas
                                        ","
                                                59 by 59 in. 150 by 150 cm
                                            "
660,"
300,000 - 400,000 USD ","
675,000 USD
","
Nov 17, 2017
", Jesus-Rafael Soto,Sotheby's New York,Contemporary Art Day Auction,"
                                            mixed media on wood
                                        ","
                                                36 by 24 5/8 by 7 in. 91 by 63 by 17.8 cm
                                            "
661,"
14,000 EUR ","
17,000 EUR*
","
Nov 15, 2017
", Benito Quinquela Martin,Roldan Auctions,Modern and Contemporary ,"
                                            Oil on agglomerate
                                        ","
                                                50 x 60 cm
                                            "
662,"
6,000 - 8,000 EUR ","
14,950 EUR
","
Oct 30, 2017
", Antonio Seguí,Artcurial,Humanus versus Animal,"
                                            Acrylic on canvas
                                        ","
                                                h: 74 w: 60 cm
                                            "
663,"
6,000 - 8,000 EUR ","
15,600 EUR
","
Oct 30, 2017
", Antonio Seguí,Artcurial,Humanus versus Animal,"
                                            Acrylic on canvas
                                        ","
                                                h: 73 w: 60 cm
                                            "
664,"
6,000 - 8,000 EUR ","
15,600 EUR
","
Oct 30, 2017
", Antonio Seguí,Artcurial,Humanus versus Animal,"
                                            Acrylic on canvas
                                        ","
                                                h: 74 w: 60 cm
                                            "
665,"
8,000 - 10,000 EUR ","
24,700 EUR
","
Oct 21, 2017
", Antonio Seguí,Digard,Collection of an Amateur,"
                                            Acrylic on newspaper mounted on canvas
                                        ","
                                                100 × 100 cm
                                            "
666,"
800 - 1,200 USD ","
2,800 USD
","
Oct 21, 2017
", Graciela Rodo-Boulanger,Rachel Davis Fine Arts,Fine Art at Auction,"
                                            oil on canvas
                                        ","
                                                19 x 19''
                                            "
667,"
300,000 - 500,000 EUR ","
511,500 EUR
","
Oct 20, 2017
", Joaquín Torres García,Christie's Paris,Visions: Collection Jean-François & Marie Aline Prat,"
                                            oil on canvas
                                        ","
                                                54 x 64.8 cm. (21 ¼ x 25 ½ in.)
                                            "
668,"
200 - 300 EUR ","
1,700 EUR*
","
Oct 04, 2017
", Jesus-Rafael Soto,Millon & Associes,Scenes of Parisian Life - Small Works by Large Masters,"
                                            Acrylic on canvas
                                        ","
                                                68 x 50 cm
                                            "
669,"
800,000 - 1,200,000 HKD ","
1,500,000 HKD
","
Sep 30, 2017
", Jesus-Rafael Soto,Sotheby's Hong Kong,Modern and Contemporary Art Evening Sale,"
                                            acrylic on wood
                                        ","
                                                153 by 102 by 20 cm; 60 1/4  by 40 1/8  by 7...
                                            "
670,"
2,000 - 3,000 EUR ","
9,100 EUR
","
Sep 22, 2017
", Antonio Seguí,Thierry de Maigret,Collection Jean Lafont,"
                                            Oil on canvas
                                        ","
                                                130 x 97 cm
                                            "
671,"
2,000 - 4,000 USD ","
3,000 USD*
","
Sep 17, 2017
", Antonio Seguí,Clars Auction Gallery,Fine Art,"
                                            mixed media on canvas
                                        ","
                                                16"" x 23.75""
                                            "
672,"
40,000 - 60,000 USD ","
27,500 USD*
","
Sep 17, 2017
", David Alfaro Siqueiros,Clars Auction Gallery,Fine Art,"
                                            oil on burlap canvas
                                        ","
                                                14"" x 18""
                                            "
673,"
2,000 - 3,000 MXN ","
1,500 MXN
","
Sep 16, 2017
", Francisco Toledo,"Morton Auctions, Moliere",Opportunities,"
                                            oil on canvas
                                        ","
                                                23 x 31 cm
                                            "
674,"
35,000 USD ","
39,000 USD*
","
Sep 06, 2017
", Antonio Seguí,Roldan Auctions,"Classical, Modern and Contemporary Painting and Sculpture","
                                            Charcoal and pastel on canvas
                                        ","
                                                115 x 148 cm
                                            "
675,"
12,000 USD ","
14,000 USD*
","
Sep 06, 2017
", Benito Quinquela Martin,Roldan Auctions,"Classical, Modern and Contemporary Painting and Sculpture","
                                            Oil on agglomerate
                                        ","
                                                50 x 60 cm
                                            "
676,"
400 - 600 USD ","
1,920 USD
","
Jul 22, 2017
", Diego Rivera,Brunk Auctions,Catalog Auction - Day 2,"
                                            gouache on fiberboard
                                        ","
                                                25 3/4 x 19 1/2 in
                                            "
677,"
10,000 - 15,000 EUR ","
12,760 EUR
","
Jul 09, 2017
", Antonio Seguí,Versailles Auction: Perrin-Royère-Lajeunesse,Abstract and Contemporary Art Sculptures,"
                                            Acrylic on canvas
                                        ","
                                                81 x 100 cm
                                            "
678,"
40,000 - 60,000 EUR ","
47,810 EUR
","
Jun 29, 2017
", Antonio Seguí,Tajan,Contemporary Art,"
                                            Acrylic on canvas
                                        ","
                                                63 x 98 3/8 in
                                            "
679,"
1,500 - 2,500 USD ","
2,125 USD
","
Jun 22, 2017
", Emilio Sanchez,Doyle New York,Doyle at Home: Including Russian Works of Art,"
                                            Oil on canvas
                                        ","
                                                24 x 30 inches
                                            "
680,"
60,000 - 80,000 EUR ","
118,750 EUR
","
Jun 16, 2017
", Joaquín Torres García,Remy Le Fur & Associates,Modern Paintings and Contemporary Art,"
                                            Oil on canvas
                                        ","
                                                35 x 29 cm
                                            "
681,"
3,000 - 4,000 EUR ","
3,750 EUR
","
Jun 09, 2017
", Antonio Seguí,Ader,Modern Paintings,"
                                            Mixed media on canvas
                                        ","
                                                46 x 38 cm
                                            "
682,"
2,500 - 3,500 EUR ","
3,250 EUR*
","
Jun 08, 2017
", Antonio Seguí,Piasa,Modern & Contemporary Art,"
                                            Gouache on paper pasted on painted cardboard
                                        ","
                                                38 × 51 cm
                                            "
683,"
1,200 EUR ","
1,400 EUR*
","
May 27, 2017
", Graciela Rodo-Boulanger,Bassenge,Modern Art Part II,"
                                            oil on canvas
                                        ","
                                                73 x 60 cm
                                            "
684,"
250,000 - 350,000 USD ","
324,500 USD
","
May 25, 2017
", Joaquín Torres García,Sotheby's New York,Latin American Contemporary Art Evening Sale,"
                                            oil on wood
                                        ","
                                                16 1/2  by 11 1/2  in
                                            "
685,"
450,000 - 550,000 USD ","
504,500 USD
","
May 25, 2017
", Jesus-Rafael Soto,Sotheby's New York,Latin American Contemporary Art Evening Sale,"
                                            oil and metal on board
                                        ","
                                                64 1/4  by 63 3/4  by 4 in
                                            "
686,"
80,000 - 120,000 USD ","
100,000 USD
","
May 25, 2017
", Antonio Seguí,Sotheby's New York,Latin American Contemporary Art Evening Sale,"
                                            acrylic, pastel, and cloth collage on canvas
                                        ","
                                                59 by 58 3/4  in. 150 by 149 cm
                                            "
687,"
40,000 - 60,000 USD ","
62,500 USD
","
May 25, 2017
", Fernando de Szyszlo,Sotheby's New York,Latin American Contemporary Art Evening Sale,"
                                            acrylic on canvas
                                        ","
                                                39 1/8  by 46 7/8  in. 99.3 by 118 cm
                                            "
688,"
200,000 - 300,000 USD ","
206,250 USD
","
May 25, 2017
", Jesus-Rafael Soto,Sotheby's New York,Latin American Contemporary Art Evening Sale,"
                                            acrylic on wood panel
                                        ","
                                                24 in. (Depth: 7 5/8  in.)
                                            "
689,"
200,000 - 250,000 USD ","
324,500 USD
","
May 25, 2017
", Joaquín Torres García,Sotheby's New York,Latin American Contemporary Art Evening Sale,"
                                            oil on canvas
                                        ","
                                                18 1/8  by 15 in
                                            "
690,"
70,000 - 90,000 USD ","
87,500 USD
","
May 25, 2017
", Fernando de Szyszlo,Sotheby's New York,Latin American Contemporary Art Evening Sale,"
                                            acrylic on canvas
                                        ","
                                                59 by 47 1/2  in. 150 by 121 cm
                                            "
691,"
600,000 - 800,000 USD ","
672,500 USD
","
May 25, 2017
", Rufino Tamayo,Sotheby's New York,Latin American Modern Art Evening Sale,"
                                            oil and sand on canvas
                                        ","
                                                55 1/4  by 69  in.
                                            "
692,"
3,000,000 - 5,000,000 USD ","
4,287,500 USD
","
May 25, 2017
", Rufino Tamayo,Sotheby's New York,Latin American Modern Art Evening Sale,"
                                            oil on canvas
                                        ","
                                                60 1/4  by 50 1/4  in.
                                            "
693,"
50,000 - 70,000 USD ","
62,500 USD
","
May 25, 2017
", Angel Zárraga,Sotheby's New York,Latin American Modern Art Evening Sale,"
                                            oil on canvas
                                        ","
                                                21 5/8  by 18 1/8  in.
                                            "
694,"
60,000 - 80,000 USD ","
56,250 USD
","
May 25, 2017
", David Alfaro Siqueiros,Sotheby's New York,Latin American Modern Art Evening Sale,"
                                            pyroxylin on board
                                        ","
                                                23 5/8  by 27 1/2  in.
                                            "
695,"
60,000 - 80,000 USD ","
68,750 USD
","
May 25, 2017
", Héctor Poleo,Sotheby's New York,Latin American Modern Art Evening Sale,"
                                            oil on canvas
                                        ","
                                                28 by 24 in.
                                            "
696,"
400,000 - 600,000 USD ","
444,500 USD
","
May 25, 2017
", Rufino Tamayo,Sotheby's New York,Latin American Modern Art Evening Sale,"
                                            oil and sand on canvas
                                        ","
                                                38 1/2  by 51 1/4  in.
                                            "
697,"
100,000 - 150,000 USD ","
118,750 USD
","
May 25, 2017
", Diego Rivera,Sotheby's New York,Latin American Modern Art Evening Sale,"
                                            oil on canvas
                                        ","
                                                29 1/4  by 21 3/4  in.
                                            "
698,"
2,000,000 - 3,000,000 USD ","
2,412,500 USD
","
May 25, 2017
", Diego Rivera,Sotheby's New York,Latin American Modern Art Evening Sale,"
                                            oil on canvas
                                        ","
                                                80 1/2  by 48 1/4  in.
                                            "
699,"
40,000 - 60,000 USD ","
47,500 USD
","
May 25, 2017
", Francisco Toledo,Sotheby's New York,Latin American Modern Art Evening Sale,"
                                            oil and sand on canvas
                                        ","
                                                31 7/8  by 25 5/8  in.
                                            "
700,"
120,000 - 180,000 USD ","
175,000 USD
","
May 24, 2017 - May 25, 2017
", Joaquín Torres García,Christie's New York,Latin American Art,"
                                            oil on cardboard mounted on board
                                        ","
                                                17 ¾ x 23 7/8 in. (45 x 66 cm.)
                                            "
701,"
20,000 - 25,000 USD ","
22,500 USD
","
May 24, 2017 - May 25, 2017
", René Portocarrero,Christie's New York,Latin American Art,"
                                            oil on panel
                                        ","
                                                23 ½ x 19 ¼ (59.7 x 48.9 cm.)
                                            "
702,"
35,000 - 45,000 USD ","
43,750 USD
","
May 24, 2017 - May 25, 2017
", Fernando de Szyszlo,Christie's New York,Latin American Art,"
                                            oil on canvas
                                        ","
                                                39 3/8 x 39 3/8 in. (100 x 100 cm.)
                                            "
703,"
10,000 - 15,000 USD ","
12,500 USD
","
May 24, 2017 - May 25, 2017
", David Alfaro Siqueiros,Christie's New York,Latin American Art,"
                                            gouache and oil on paper laid on panel
                                        ","
                                                25½ x 19¾ in. (64.7 x 50.1 cm.)
                                            "
704,"
120,000 - 180,000 USD ","
271,500 USD
","
May 24, 2017 - May 25, 2017
", Tomás Sánchez,Christie's New York,Latin American Art,"
                                            acrylic on canvas
                                        ","
                                                23 ¾ x 47 ½ in. (60.3 x 120.7 cm.)
                                            "
705,"
150,000 - 200,000 USD ","
150,000 USD
","
May 24, 2017 - May 25, 2017
", René Portocarrero,Christie's New York,Latin American Art,"
                                            tempera on paper laid down on cardboard
                                        ","
                                                36 ½ x 27 ½ in. (93 x 70 cm.)
                                            "
706,"
25,000 - 30,000 USD ","
40,000 USD
","
May 24, 2017 - May 25, 2017
", Benito Quinquela Martin,Christie's New York,Latin American Art,"
                                            oil on masonite
                                        ","
                                                31 ¾ x 35 ½ in. (80.7 x 90.2 cm.)
                                            "
707,"
60,000 - 80,000 USD ","
62,500 USD
","
May 24, 2017 - May 25, 2017
", Francisco Toledo,Christie's New York,Latin American Art,"
                                            incised oil and encaustic on gessoed wood
                                        ","
                                                11 x 13 7/8 in. (27.9 x 35.1 cm.)
                                            "
